shop name,postal code,phone number,star,price,number of reviews,street address
Cascabel,91602,(818) 927-4210,-1,$$,338,10717 Riverside Dr
El Paisano,90026,,-1,$,59,1185 W Sunset Blvd
La Fuente Restaurant,90042,(323) 258-6109,-1,$,161,5530 Monte Vista St
La Numero Uno,90038,(323) 957-1111,-1,$,243,1247 Vine St
Mex Perú Gipsy,90015,(213) 748-1773,-1,$$,246,414 E 12th St
La Cocinita,90019,(323) 937-1249,-1,$,10,4379 W Pico Blvd
Tabachines Cocina,90013,(213) 489-2950,-1,$$,150,517 S Spring St
El Grullense Restaurant,90006,(213) 487-9540,-1,$,67,2274 W Pico Blvd
Carnitas Michoacan,90031,(323) 225-2729,-1,$,933,1901 N Broadway
Yuca’s,90027,(323) 662-1214,-1,$,652,2056 Hillhurst Ave
Tacos Los Gueros,90023,(323) 568-6225,-1,$,18,1300 Mirasol St
Sonoritas Prime Tacos,90025,(310) 444-9100,-1,$$,313,2004 Sawtelle Blvd
Gilbert’s El Indio Restaurant,90405,(310) 450-8057,-1,$$,667,2526 Pico Blvd
Tacos Tumbras a Tomas,90013,(213) 620-1071,-1,$,614,317 S Broadway
Huitlacoche,90019,(323) 381-0688,-1,$,47,
BS Taqueria,90014,(213) 622-3744,-1,$$,517,514 W 7th St
Las Molenderas Restaurant,90023,(323) 269-2812,-1,$,63,2635 Whittier Blvd
Sonoratown,90014,(310) 987-6994,-1,$,96,208 E 8th St
Romero’s Mexican Food,90020,(213) 480-8438,-1,$,144,516 S Western Ave
Cielito Lindo,90012,(213) 687-4391,-1,$,486,E-23 Olvera St
Guero’s Cocina Mexicana,90014,(213) 488-1574,-1,$,60,737 S Los Angeles St
White Boy Tacos,90014,(805) 738-3794,-1,$,49,722 S Broadway
El Tepeyac Cafe,90033,(323) 268-1960,-1,$$,1739,812 N Evergreen Ave
King Taco,90006,(213) 384-8115,-1,$,816,2020 W Pico Blvd
Las Molenderas Restaurant,90023,(323) 269-2812,-1,$,63,2635 Whittier Blvd
El Jalisciense #2,90201,(323) 562-1486,-1,,4,6201 Eastern Avenue
Tere’s Mexican Grill,90038,(323) 468-9345,-1,$,404,5870 Melrose Ave
Leo’s Tacos Truck,90019,(323) 346-2001,-1,$,876,1515 S La Brea Ave
Broken Spanish,90015,(213) 749-1460,-1,$$$,358,1050 S Flower St
Villa Morelianas,90013,(213) 725-0848,-1,$,187,317 S Broadway
Antequera De Oaxaca,90038,(323) 466-1101,-1,$,123,5200 Melrose Ave
La Azteca Tortilleria,90022,(323) 262-5977,-1,$,471,4538 E Cesar E Chavez Ave
Candela Taco Bar & Lounge,90036,(323) 936-0533,-1,$$,460,831 S La Brea Ave
Velvet Margarita,90028,(323) 469-2000,-1,$$,936,1612 N Cahuenga Blvd
CaCao Mexicatessen,90041,(323) 478-2791,-1,$$,1127,1576 Colorado Blvd
El Nopal Mexican Restaurant,90034,(310) 559-4732,-1,$$,473,10426 National Blvd
Mondo Taco,90404,(310) 310-8922,-1,$,724,2200 Colorado Ave
Benny’s Tacos & Chicken Rotisserie,90045,(310) 670-8226,-1,$,623,7101 W Manchester Ave
Pata Salada,90036,(323) 988-3744,-1,$$,24,672 S La Brea Ave
Toca Madera,90048,(323) 852-9400,-1,$$$,822,8450 W 3rd St
Conchitas,90029,(323) 498-5360,-1,$,80,820 N Western Ave
Rincon OaxaQueño,90028,(323) 461-3622,-1,$,57,6655 Hollywood Blvd
Gloria’s Cafe,90034,(310) 838-0963,-1,$$,1387,10227 Venice Blvd
Ocho Mexican Grill,90017,(213) 788-4788,-1,$,254,630 W 6th St
Casita Taco Al Carbon,90014,(213) 627-7414,-1,$,74,609 S Spring St
Dos Burritos,90028,(323) 460-4178,-1,$,208,6328 Hollywood Blvd
Tacos Tu Madre,90025,(424) 832-7092,-1,$,410,1945 1/2 Westwood Blvd
La Chuperia,90033,(626) 354-0267,-1,$,176,1145 N Mission Rd
Tamales Alberto,90026,(213) 484-4485,-1,$,186,1644 W Temple St
Sky’s Gourmet Tacos,90019,(323) 302-5932,-1,$,761,5408 W Pico Blvd
SOL Cocina - Playa Vista,90094,(424) 289-0066,-1,$$,279,12775 W Millennium Dr
Rauls Mexican Restaurant,90250,(310) 675-5563,-1,$,111,13908 Inglewood Ave
Mixto Comida Latina,90027,(323) 668-1818,-1,$,533,2827 Hyperion Ave
Pez Cantina,90071,(213) 258-2280,-1,$$,362,401 S Grand Ave
Huarache Azteca Restaurante,90042,(323) 478-9572,-1,$,601,5225 York Blvd
Tacos El Compita,90019,(323) 935-0490,-1,$,203,4477 W Pico Blvd
Salazar,90039,,-1,$$,284,2490 N Fletcher Dr
Te’Kila,90028,(323) 960-2404,-1,$$,549,6541 Hollywood Blvd
Secret Taco Stand,90021,,-1,$,156,2000 E 7th St
Tacos Villa Corona,90039,(323) 661-3458,-1,$,492,3185 Glendale Blvd
El Taco Toro,90230,(310) 503-2062,-1,$,50,4400 Slauson Ave
King Taco,90006,(213) 384-8115,-1,$,816,2020 W Pico Blvd
Anejo Cantina and Grill,91403,(818) 380-3180,-1,$$,935,14755 Ventura Blvd
Mama Chela’s Kitchen,90028,(323) 645-7828,-1,$,31,5907 Hollywood Blvd
El Nopal Mexican Restaurant,90034,(310) 559-4732,-1,$$,473,10426 National Blvd
Dino’s Chicken and Burgers,90006,(213) 380-3554,-1,$,1599,2575 W Pico Blvd
Las Ranas Cafe,90032,(323) 224-0435,-1,$,55,5472 Valley Blvd
Taqueria El Charrito,90029,(323) 661-0467,-1,$,48,811 N Virgil Ave
El Cartel,90036,(323) 931-1281,-1,$,160,5515 Wilshire Blvd
La Taquiza No 2,90007,(213) 741-9795,-1,$,543,3009 S Figueroa St
Mariscos Jalisco,90023,(323) 528-6701,-1,$,427,3040 E Olympic Blvd
Cilantro,90017,(213) 628-3111,-1,$,32,1234 Wilshire Blvd
Eduardo’s Border Grill,90025,(310) 475-2410,-1,$,314,1830 Westwood Blvd
Sabores Oaxaqueños Restaurant,90005,(213) 427-3508,-1,$$,76,3337 1/2 W 8th St
Delia’s Restaurant,90041,(323) 256-7841,-1,$,150,4501 York Blvd
Rakken Tacos,90040,(323) 800-2126,-1,$,204,2444 S Atlantic Blvd
Fish Taco Express,90022,(323) 264-8233,-1,$,150,5144 E Beverly Blvd
La Valentina Mexican Grill,90047,(323) 541-9901,-1,$,28,1735 West Manchester Ave
Mexicano,90008,(323) 296-0798,-1,$$,257,3650 W Martin Luther King Jr Blvd
Taqueria Tijuana,90003,(323) 750-1719,-1,$,61,241 W Florence Ave
Taqueria Los Amigos,90026,(213) 481-7579,-1,$,45,1378 W Sunset Blvd
El Tauro Taco,90010,,-1,$,115,
Juanita’s Café,90012,(213) 628-1013,-1,$,145,20 Olvera St
Puerto Nuevo Restaurant,90043,(323) 299-6055,-1,$,93,4445 W Slauson Ave
El Compadre,90046,(323) 874-7924,-1,$$,1206,7408 W Sunset Blvd
Tacos Baja Ensenada,90022,(323) 887-1980,-1,$,903,5385 Whittier Blvd
Las Glorias Del Buen Comer,90026,(213) 484-9090,-1,$,160,620 Silver Lake Blvd
La Guadalupana,90017,(213) 483-2973,-1,$,35,1422 W 6th St
Salsa & Beer,91607,(747) 248-5633,-1,$$,1776,11669 Sherman Way
El Gordo,90043,(323) 473-2140,-1,,1,
Rincon Huasteco,90201,(323) 537-2152,-1,$$,3,4846 Florence Ave
La Abeja Restaurant,90065,(323) 221-0474,-1,$,235,3700 N Figueroa St
Oaxacan Quesadilla Cart,90026,,-1,$,120,1246 Echo Park Ave
Los Cinco Puntos,90063,(323) 261-4084,-1,$,337,3300 E Cesar E Chavez Ave
Los Tres Cochinitos Restaurant,90031,(323) 221-2740,-1,$,82,3111 N Main St
La 1st St Taqueria,90033,(323) 262-9787,-1,$,104,1843 1/2 E 1st St
Mariela’s Taco,90020,(213) 381-7356,-1,$,292,3662 W 3rd St
Zermeño’s Restaurant,90038,(323) 467-1202,-1,$,186,6115 Santa Monica Blvd
Casa Sanchez,90066,(310) 397-9999,-1,$$,881,4500 S Centinela Ave
Tacos El Tuca,90044,(650) 669-4015,-1,$,82,428 11th St
Nina’s Mexican Food,90025,(310) 479-5081,-1,$,189,1651 Sawtelle Blvd
La Valentina Mexican Grill,90007,(323) 734-4071,-1,$,141,2719 Vermont Ave
Tio Pepe,90023,(323) 264-6453,-1,$,15,3578 E 8th St
Langosta Ranchera,90022,(323) 485-1886,-1,$$,47,5862 Whittier blvd
El Charro Restaurant,90017,(213) 292-0668,-1,$,42,1621 W 6th St
Sky’s Gourmet Tacos,90019,(323) 302-5932,-1,$,761,5408 W Pico Blvd
Tacos Delta,90026,(323) 664-2848,-1,$,461,3806 W Sunset Blvd
SOL Cocina - Playa Vista,90094,(424) 289-0066,-1,$$,279,12775 W Millennium Dr
Frank’s Restaurant,90036,(323) 655-5277,-1,$,211,363 S Fairfax Ave
La Morenita Oaxaquena Restaurant,90020,(213) 365-9201,-1,$$,38,3550 W 3rd St
Juanita’s Tacos,90189,,-1,$,99,Corner of S Western & W 3rd St
Pepe’s Tacos,90066,(310) 391-8667,-1,$,363,4582 S Centinela Ave
Lupita’s Restaurant,90065,(323) 223-7835,-1,$,38,2634 Idell St
El Cholo,90006,(323) 734-2773,-1,$$,1072,1121 S Western Ave
Mariscos Mi Lindo Sinaloa,90255,(323) 585-2120,-1,$$,7,5527 Pacific Blvd
El Huero,90007,(213) 747-0012,-1,$,503,3000 S Figueroa St
Cilantro Lime,90015,(213) 628-3517,-1,$,117,934 Los Angeles St
Marielas Taco,90026,(213) 413-0484,-1,$,132,2501 W Sunset Blvd
La Reyna Restaurant,90021,(213) 624-9879,-1,$,46,2000 E 7th St
Taco Love,90046,(323) 650-8226,-1,$,316,7980 Sunset Blvd
Chicas Tacos,90014,(213) 896-0373,-1,$$,220,728 S Olive St
Juquila Restaurant,90025,(310) 312-1079,-1,$,268,11619 Santa Monica Blvd
Project Taco,90048,(323) 424-7564,-1,$,138,6325 Wilshire Blvd
La Carreta,90011,(323) 232-7133,-1,$,133,1471 E Vernon Ave
Vicky’s Restaurant,90033,(323) 264-5595,-1,$,23,2308 E 1st St
Antonio’s Restaurant,90046,(323) 658-9060,-1,$$,213,7470 Melrose Ave
Yeya’s Restaurant,90033,(323) 264-4245,-1,$,49,1816 E 1st St
Tacos Los Gueros,90023,(323) 568-6225,-1,$,18,1300 Mirasol St
Sonoritas Prime Tacos,90025,(310) 444-9100,-1,$$,313,2004 Sawtelle Blvd
Lupe’s Burritos,90022,(323) 266-6881,-1,$,258,4642 E 3rd St
Mexicanos 30-30,90033,(323) 224-9466,-1,$,87,2042 Marengo St
Tacos Locos,90006,(323) 734-6357,-1,$,44,2148 Venice Blvd
Tacos La Estrella,90065,(323) 258-5256,-1,$,106,3415 Fletcher Dr
Casita del Campo,90027,(323) 662-4255,-1,$$,428,1920 Hyperion Ave
Ave 26 Taco Stand,90031,,-1,$,255,W Ave 26 and Humboldt St
Best Fish Taco In Ensenada,90027,(323) 466-5552,-1,$,1851,1650 Hillhurst Ave
La Barca Restaurant,90007,(323) 735-6567,-1,$$,553,2414 S Vermont Ave
La Villa Cafe,90039,(818) 331-5243,-1,$,29,4105 Chevy Chase Dr
Paco’s Tacos,90066,(310) 391-9616,-1,$$,878,4141 S Centinela Ave
Pinches Tacos,90046,(323) 650-0614,-1,$,589,8200 W Sunset Blvd
Gilbert’s El Indio Restaurant,90405,(310) 450-8057,-1,$$,667,2526 Pico Blvd
King Taco,90006,(213) 384-8115,-1,$,816,2020 W Pico Blvd
Las Molenderas Restaurant,90023,(323) 269-2812,-1,$,63,2635 Whittier Blvd
The King of Grill,90028,(323) 345-9684,-1,$,69,1525 1/2 N La Brea Ave
Danny’s Tacos,90015,(323) 529-7486,-1,$,285,1023 S Grand Ave
La Estrella Mexican Food,90031,(323) 225-1148,-1,$,91,3733 N Mission Rd
El Parian Restaurant,90015,(213) 386-7361,-1,$,163,1528 W Pico Blvd
Zamora Brothers,90015,(213) 385-5553,-1,$,35,1559 W Pico Blvd
Ciro’s Restaurant,90033,(323) 269-5104,-1,$$,258,705 N Evergreen Ave
Los Molcajetes,90005,(213) 383-4782,-1,$,92,695 S Hoover St
Tacomiendo,90064,(310) 481-0804,-1,$,383,11462 Gateway Blvd
La Playita Siete Mares,90026,(323) 664-4604,-1,$,77,3143 W Sunset Blvd
Tacos Tu Madre,90027,(323) 522-3651,-1,$,174,1824 N Vermont Ave
Mondo Taco,90404,(310) 310-8922,-1,$,724,2200 Colorado Ave
Tacos Tu Madre,90025,(424) 832-7092,-1,$,410,1945 1/2 Westwood Blvd
Cilantro Mexican Grill,91605,(818) 765-7998,-1,$,454,7214 Whitsett Ave
Taqueria Jalisco,90016,(323) 932-0274,-1,$,38,4755 W Washington Blvd
Calle Tacos,90028,(323) 465-9100,-1,$,464,6508 Hollywood Blvd
La Naranja Taqueria Restaurant,90031,(323) 221-5923,-1,$,126,2333 Daly St
Mexikosher,90035,(310) 271-0900,-1,$$,268,8832 W Pico Blvd
Taco Man,90033,(323) 222-6560,-1,$,91,1602 N Soto St
Gus’s Lunch Box,90039,(213) 631-8250,-1,$,139,2379 Glendale Blvd
El Potrillo Cafe,90004,(213) 738-7778,-1,$,102,210 N Virgil Ave
La Tostaderia,90013,(213) 624-2378,-1,$$,135,317 S Broadway
Tacos Ochoa,90057,,-1,$,27,120 S La Fayette Park Pl
Escuela Taqueria,90036,(323) 932-6178,-1,$$,315,7615 Beverly Blvd
Benny’s Tacos & Chicken Rotisserie,90045,(310) 670-8226,-1,$,623,7101 W Manchester Ave
Rauls Mexican Restaurant,90250,(310) 675-5563,-1,$,111,13908 Inglewood Ave
SOL Cocina - Playa Vista,90094,(424) 289-0066,-1,$$,279,12775 W Millennium Dr
RJM Mexican Grill,91352,(818) 983-6919,-1,$,155,8181 Sunland Blvd
El Jalapeno Tacos,90005,(213) 365-0048,-1,$,92,854 S Vermont Ave
El Atacor Restaurant,90065,(323) 342-0180,-1,$,144,3520 N Figueroa St
Viva Fresh Mexican Grill,90045,(310) 338-9153,-1,$,268,6515 S Sepulveda Blvd
Olga’s Naturally,90016,(323) 965-0269,-1,$,125,3560 S La Cienega Blvd
Benny’s Tacos & Chicken Rotisserie,90045,(310) 670-8226,-1,$,623,7101 W Manchester Ave
The Mexican Village,90004,(213) 385-0479,-1,$$,217,3668 Beverly Blvd
El Compadre,90026,(213) 250-4505,-1,$$,506,1449 W Sunset Blvd
Mariscos Jalisco,90021,(323) 309-1622,-1,$,41,E 10th St and Towne Ave
Monte Alban Restaurant,90025,(310) 444-7736,-1,$$,471,11929 Santa Monica Blvd
Mama Chela’s Kitchen,90028,(323) 645-7828,-1,$,31,5907 Hollywood Blvd
Anejo Cantina and Grill,91403,(818) 380-3180,-1,$$,935,14755 Ventura Blvd
El Nopal Mexican Restaurant,90034,(310) 559-4732,-1,$$,473,10426 National Blvd
Tacos Por Favor,90064,(310) 479-2818,-1,$,261,11901 W Olympic Blvd
La Azteca,90039,(818) 240-5852,-1,$,34,4203 Chevy Chase Dr
Puertos Del Pacifico,90023,(323) 262-0203,-1,$$,172,1240 S Soto St
Teresita’s,90063,(323) 266-6045,-1,$$,154,3826 E 1st St
Tacos Mexico,90015,(213) 627-2399,-1,$,222,913 S Broadway
El Condor,90026,(323) 660-4500,-1,$$,188,3701 Sunset Blvd
Llamarada,90031,(323) 221-2259,-1,$,73,2622 Pasadena Ave
The Tamale Cafe,90014,(213) 327-0982,-1,$,82,215 W 6th St
El Charro Restaurant,90066,(310) 391-1885,-1,$,66,12819 Venice Blvd
Las Delicias,90062,(323) 294-6325,-1,$,17,4029 S Western Ave
La Valentina Mexican Grill,90047,(323) 541-9901,-1,$,28,1735 West Manchester Ave
Joselitos Mexican Food,91020,(844) 304-2071,-1,$$,271,2345 Honolulu Ave
El Gordo,90043,(323) 473-2140,-1,,1,
Luisitos Torta’s & Jugos,90033,(323) 261-8384,-1,$,79,1908 3/4 E 1st St
Tacos El Pecas,90023,,-1,$,123,999 S Soto St
La Fonda de Los Camperos,90057,(213) 380-5055,-1,$$,105,2501 Wilshire Blvd
Cemitas Poblanas,90064,(323) 535-3520,-1,$,27,2415 Manning Ave
Rubio’s Cafe,90034,(310) 202-1770,-1,$,103,3380 S Robertson Blvd
Tacos Al Pastor,90029,(323) 644-9806,-1,$,92,5179 Santa Monica Blvd
Casa Linda,90291,(310) 664-1177,-1,$$,59,1025 Abbot Kinney Blvd
Petty Cash Taqueria,90036,(323) 933-5300,-1,$$,589,7360 Beverly Blvd
Al & Bea’s Mexican Food,90033,(323) 267-8810,-1,$,453,2025 E 1st St
Birrieria De Don Boni,90033,(323) 262-4552,-1,$$,163,1845 E 1st St
World Famous Grill,90201,(323) 562-0744,-1,$,181,4143 E Florence Ave
Rincon Huasteco,90201,(323) 537-2152,-1,$$,3,4846 Florence Ave
Los California Tacos,91105,(626) 376-7742,-1,$,683,510 S Fair Oaks Ave
El Cholo,90015,(213) 746-7750,-1,$$,489,1037 S Flower St
La Estrella Restaurant,90023,(323) 266-4349,-1,$,113,940 S Lorena St
Pachecos Tacos,90010,,-1,$,20,3474-3514 Wilshire Blvd
Ocho Mexican Grill,90012,(213) 788-4888,-1,$,177,255 S Grand Ave
Don Chuy’s Mexican Restaurant,90230,(310) 398-9606,-1,$$,157,11800 Jefferson Blvd
La Bonita,90029,(323) 644-4909,-1,$,25,4874 Santa Monica Blvd
Los Burritos,90028,(323) 461-5814,-1,$,177,6517 Hollywood Blvd
La Chispa De Oro,90033,(323) 526-0793,-1,$,64,2217 E Cesar E Chavez Ave
Atwater Village Tavern,90039,(323) 644-0605,-1,$$,298,3216 Glendale Blvd
Tacos el Hermano,90033,(323) 604-0255,-1,$,26,1220 E 1st St
The Mexican Taco Catering,90680,(949) 464-8226,-1,$$,88,8040 Orangewood Ave
Conchitas,90029,(323) 498-5360,-1,$,80,820 N Western Ave
Langosta Ranchera,90022,(323) 485-1886,-1,$$,47,5862 Whittier blvd
La Luz Del Dia,90012,(213) 628-7495,-1,$,227,W-1 Olvera St
El Palenque Restaurant,90032,(323) 276-7882,-1,$,28,4501 N Huntington Dr
Chico’s,90042,(323) 254-2445,-1,$,155,100 N Ave 50
Diablo,90026,(323) 666-4666,-1,$$,590,3129 W Sunset Blvd
Lupe’s Burritos,90022,(323) 266-6881,-1,$,258,4642 E 3rd St
Cactus Mexican Food No 2,90004,(323) 662-0759,-1,$,263,4370 Beverly Blvd
El Compadre,90015,(213) 749-0025,-1,$$,254,1248 S Figueroa St
TLT Food,90024,(310) 443-4433,-1,$$,871,1116 Westwood Blvd
Trois Familia,90026,(323) 725-7800,-1,$$,234,3510 Sunset Blvd
Yuca’s - Hollywood,90027,(323) 661-0523,-1,$,274,4666 Hollywood Blvd
Cilantro Lime,90015,(213) 628-3517,-1,$,117,934 Los Angeles St
Sonoritas Prime Tacos,90025,(310) 444-9100,-1,$$,313,2004 Sawtelle Blvd
King Taco,90006,(213) 384-8115,-1,$,816,2020 W Pico Blvd
Coronados Mexican Restaurant & Bar,90013,(213) 935-8259,-1,$,194,212 W 5th St
El Sarape,90033,(323) 415-0765,-1,$,50,2522 1st St
La Fiesta Brava,90291,(310) 399-8005,-1,$,318,259 Hampton Dr
Lupita’s Tamales,90065,(323) 258-0667,-1,$,123,3027 N San Fernando Rd
El Delfin,90021,(213) 746-2240,-1,$$,44,1800 S Central Ave
Border Grill Downtown LA,90071,(213) 486-5171,-1,$$,726,445 S Figueroa St
Tacos El Gavilan,90037,(323) 233-0897,-1,$,112,4380 S Broadway
Senor Fish,90041,(323) 257-7167,-1,$$,701,4803 Eagle Rock Blvd
Tacos Arizas,90026,(323) 555-1212,-1,$,203,Corner Of Sunset And Logan
King Torta,90032,(323) 222-7006,-1,$,510,4521 Valley Blvd
Las Molenderas Restaurant,90023,(323) 269-2812,-1,$,63,2635 Whittier Blvd
Birrieria De Don Boni,90033,(323) 262-4552,-1,$$,163,1845 E 1st St
El Antojito,90248,(310) 769-6951,-1,$,300,16717 S Figueroa St
California Grill Restaurant,90029,(323) 660-0427,-1,$,24,800 N Virgil Ave
El Arco Iris,90042,(323) 254-3401,-1,$$,448,5684 York Blvd
Taqueria La Guadalupana,90065,(323) 440-6445,-1,$,46,Cypress Ave At Division St
Mayas Tacos Market,90026,(213) 484-0340,-1,$,122,1600 N Alvarado St
Viva Taco Azteca,90042,(818) 863-0577,-1,$,33,5138 N Figueroa St
Mariscos Maria’s Restaurant,90016,(323) 934-7085,-1,$$,79,5640 W Adams Blvd
El Buen Gusto Restaurants,90039,(323) 906-9796,-1,$,143,2829 Fletcher Dr
Taco Zone Truck,90026,,-1,$,593,1342 N Alvarado St
Maya’s Restaurant,90031,(323) 225-2163,-1,$,89,200 S Ave 19
Rincon Oaxaqueno Restaurant,90027,(323) 957-2293,-1,$$,94,1544 N Western Ave
Rauls Mexican Restaurant,90250,(310) 675-5563,-1,$,111,13908 Inglewood Ave
Mama Chela’s Kitchen,90028,(323) 645-7828,-1,$,31,5907 Hollywood Blvd
El Gordo,90043,(323) 473-2140,-1,,1,
Burritos Sahuayo,90189,(323) 235-6659,-1,$,21,1st and Western Ave
Mariscos 4 Vientos,90023,(323) 266-4045,-1,$,441,3000 E Olympic Blvd
Martita’s Mexican Restaurant,90031,(323) 227-5752,-1,$,16,2657 Pasadena Ave
Tacos El Gavilan,90028,(323) 469-1091,-1,$,104,7070 Sunset Blvd
La Barbacha,90033,(323) 264-1451,-1,$,47,2510 E Cesar Chavez Ave
La Esquina Restaurant,90065,(323) 474-6050,-1,$,64,4159 Eagle Rock Blvd
Burrito Place,90032,(323) 505-7546,-1,$,86,5587 Huntington Dr N
Las Brisas,90033,(323) 222-4686,-1,$,113,1829 E Cesar Chavez Ave
Fernando’s Taco Inn,90015,(213) 489-7615,-1,$,87,815 W Olympic Blvd
El Burrito Panzon,90057,(213) 413-5076,-1,$,37,2108 Beverly Blvd
Los California Tacos,91105,(626) 376-7742,-1,$,683,510 S Fair Oaks Ave
Pupuseria El Cerro Verde,90304,(310) 412-1000,-1,$$,18,4422 W Imperial Hwy
Andy’s Restaurant,91601,(818) 853-7191,-1,$,97,5342 Vineland Ave
Restaurant Santa Cecilia,90033,(323) 980-0716,-1,$,22,1707 Mariachi Plz
Revolutionario: North African Tacos,90007,(424) 223-3526,-1,$,287,1436 W Jefferson Blvd
Rosa Mexicano,90015,(213) 746-0001,-1,$$,877,800 W Olympic Blvd
Juanita’s Cafe,90014,(213) 239-0696,-1,$,12,717 S Broadway
Taqueria Vista Hermosa,90007,(213) 741-1251,-1,$,159,3655 S Grand Ave
Don Toños Restaurant,90032,(323) 227-0084,-1,$,17,3107 N Eastern Ave
El Matador Taco Truck,90028,,-1,$,149,1174 N Western Ave and Lexington
El Tapatio,90033,(323) 266-2931,-1,$,15,2049 E Cesar E Chavez Ave
El Coyote Mexican Cafe,90036,(323) 939-2255,-1,$$,1259,7312 Beverly Blvd
Birrieria De Don Boni,90033,(323) 262-4552,-1,$$,163,1845 E 1st St
The Talpa Restaurant,90064,(310) 478-3353,-1,$$,187,11751 W Pico Blvd
My Taco,90042,(323) 256-2698,-1,$,535,6300 York Blvd
Dos Burritos Van Nuys,91405,(818) 946-8162,-1,$,53,7207 Van Nuys Blvd
Tamayo Restaurant,90022,(323) 260-4700,-1,$$,178,5300 E Olympic Blvd
Cocina Dona Chona,90001,(323) 581-3036,-1,$,17,1938 E Florence Ave
Trejo’s Tacos,90019,(323) 938-8226,-1,$$,578,1048 S La Brea Ave
Moles La Tia,90022,(323) 263-7842,-1,$$,413,4619 E Cesar E Chavez Ave
Mexico City,90027,(323) 661-7227,-1,$$,518,2121 Hillhurst Ave
Fanny’s Restaurant,90042,(323) 478-7054,-1,$,60,5455 N Figueroa St
El Rancho Grande,90012,(213) 626-5750,-1,$,47,E 17 Olvera St
Loteria Grill,90028,(323) 465-2500,-1,$$,780,6627 Hollywood Blvd
Las Amigas,90014,(213) 627-1067,-1,$,40,830 San Julian St
Don Antonio’s,90064,(310) 312-2090,-1,$$,1001,11755 W Pico Blvd
Tacos Super Gallito,90034,,-1,$,19,8501-8549 Sawyer St
Las Ranas Cafe,90016,(323) 934-7084,-1,$,55,5237 W Adams Blvd
Más Malo,90014,(213) 985-4332,-1,$$,1101,515 W 7th St
Restaurante Puerto La Union,90019,(323) 373-0429,-1,$,22,3811 W Pico Blvd
Malo,90029,(323) 664-1011,-1,$$,1260,4326 W Sunset Blvd
