_id,ltable_ID,rtable_ID,ltable_shop name,ltable_postal code,ltable_street address,ltable_phone number,rtable_shop name,rtable_postal code,rtable_street address,rtable_phone number,label
140,140,2137,star noodle express,90045,5310 w century blvd,3103381337,buffet express,90045,5959 w century blvd,3106706575,-1
147,150,1699,it's pho hollywood,90028,1821 n cahuenga blvd,3233807998,it's pho,90028,1821 n cahuenga blvd,3233807998,1
148,151,1650,gyu-kaku japanese bbq dining,90064,10925 w pico blvd,3102348641,gyu-kaku japanese bbq,90064,10925 w pico blvd,3102348641,1
159,159,1352,far bar,90012,347 e 1st st,2136179990,far bar,90012,347 e 1st st,2136179990,1
160,159,2435,far bar,90012,347 e 1st st,2136179990,my ramen bar,90012,321 1/4 e 1st st,2136139888,-1
164,162,2412,daichan,91604,11288 ventura blvd,8189808450,daichan,91604,11288 ventura blvd,8189808450,1
190,190,1930,melanee thai,90035,9562 w pico blvd,3102734066,melanee thai,90035,9562 w pico blvd,3102734066,1
191,190,2101,melanee thai,90035,9562 w pico blvd,3102734066,tuk tuk thai,90035,8875 w pico blvd,3108601872,-1
204,205,2099,kiku sushi,90004,246 n larchmont blvd,3234641323,kiku sushi,90004,246 n larchmont blvd,3234641323,1
212,207,4474,escala restaurant and bar,90020,3451 w 6th st,2133871113,pharos bar & cafe,90020,2999 w 6th st,2137387370,-1
215,209,2237,eight korean bbq,90005,863 s western ave,2133651750,ssam korean bbq,90006,1040 s western ave,3237379292,-1
231,217,1731,mae ploy restaurant,90026,2606 w sunset blvd,2133539635,sib song thai restaurant,90026,2202 w sunset blvd,2134136316,-1
235,221,1821,myung dong kyoja,,3630 wilshire blvd,2133857789,myung dong kyoja,90010,3630 wilshire blvd,2133857789,1
247,236,145,nanban-kan restaurant,90025,11330 santa monica blvd,3104781591,juquila restaurant,90025,11619 santa monica blvd,3103121079,-1
259,247,1913,wokcano,90046,8000 w sunset blvd,3234509037,wokcano,90046,8000 w sunset blvd,3234509037,1
268,254,1817,yuko kitchen,90036,5484 wilshire blvd,3239334020,yuko kitchen,90036,5484 wilshire blvd,3239334020,1
269,262,1668,feast from the east,90025,1949 westwood blvd,3104750400,feast from the east,90025,1949 westwood blvd,3104750400,1
276,267,2283,toshi sushi,90012,359 e 1st st,2136804166,toshi sushi,90012,359 e 1st st,2136804166,1
306,312,1764,ramayani westwood,90024,1777 westwood blvd,3104773315,ramayani,90024,1777 westwood blvd,3104773315,1
313,316,1831,pho cafe,,2841 w sunset blvd,2134130888,pho cafe,90026,2841 w sunset blvd,2134130888,1
319,316,4042,pho cafe,,2841 w sunset blvd,2134130888,reggie's deli & cafe,90026,1910 w sunset blvd,2133539263,-1
343,344,2244,dan sungsa,90020,3317 w 6th st,2134879100,sun nong dan,90020,3470 w 6th st,2133650303,-1
354,371,2012,honey pig,90005,3400 w 8th st,2133800256,honey pig,90005,3400 w 8th st,2133800256,1
360,380,2334,first szechuan wok,90024,10855 lindbrook dr,3102087785,first szechuan wok,90024,10855 lindbrook dr,3102087785,1
361,382,1646,zencu sushi and grill,90012,319 e 2nd st ste 206,2136877780,hama sushi,90012,347 e 2nd st,2136803454,-1
374,392,1609,mayflower seafood restaurant,90012,679 n spring st,2136280116,full house seafood restaurant,90012,963 n hill st,2136178382,-1
402,412,1858,man soo korean bbq,90005,3423 w 8th st # 3429,2133889494,oo-kook korean bbq,90005,3385 w 8th st,2133855665,-1
413,433,4438,jung won paik noodle house,90006,2716 w olympic blvd,2133870410,new seoul hotel coffee house,90006,2666 w olympic blvd,2133846314,-1
415,440,1184,back house,90064,10915 w pico blvd,3104816800,the six chow house,90064,10668 w pico blvd,3108376662,-1
429,482,2058,house of macau,90028,1600 vine street,3237455038,house of macau,90028,1600 vine st,3237455038,1
431,488,2021,roasted sesame kitchen,90029,4632 santa monica blvd,3233504641,roasted sesame kitchen,90029,4632 santa monica blvd,3233504641,1
459,510,2292,golden city restaurant,90012,960 n hill st,2132532660,foo chow restaurant,90012,949 n hill st,2134851294,-1
466,528,2433,hunan taste,90036,6031 san vicente blvd,3239365621,hunan tasty - temp. closed,90036,6031 san vicente blvd,3239365621,1
471,544,1460,coral reef,90039,3200 glendale blvd,3236603260,coral reef chinese restaurant,90039,3200 glendale blvd,3236603260,1
472,545,1910,chuan chim restaurant,90028,5644 hollywood blvd,3234626221,chuan chim,90028,5644 hollywood blvd,3234626221,1
484,565,2040,kim chuy restaurant,90012,727 north broadway,2136877215,kim chuy restaurant,90012,727 n broadway,2136877215,1
487,576,4448,howard's cafe,90006,1051 south alvarado street,2133857991,howard's cafe,90006,1051 s alvarado st,2133857991,1
494,591,1605,lin's chinese cuisine,90064,11668 w pico blvd,3104788892,bossa nova brazilian cuisine,90064,10982 w pico blvd,3104410404,-1
499,595,2049,vip chinese restaurant,90005,705 s western ave,2133898532,lemon tree kids and family restaurant,90005,621 s western ave,2133800038,-1
500,595,2384,vip chinese restaurant,90005,705 s western ave,2133898532,e-moon oak restaurant,90005,869 s western ave,2133878899,-1
516,617,4420,jin jiang restaurant,90025,11057 santa monica blvd,3104447171,santa monica restaurant & cafe,90025,12340 santa monica blvd,3102078888,-1
518,622,2140,rene cafe,90017,1123 west 7th street,2136899898,rene cafe,90017,1123 w 7th st,2136899898,1
528,639,2168,china food express restaurant,90005,3320 w 8th st,2133803810,naegohyang restaurant,90005,3516 w 8th st,2133810022,-1
537,658,191,best chinese restaurant,90025,12239 santa monica blvd,,monte alban restaurant,90025,11929 santa monica blvd,3104447736,-1
550,707,1099,water grill,90071,544 s grand ave,2138910900,water grill,90071,544 s grand ave,2138910900,1
558,717,1771,joan's on third,90048,8350 w third st,3236552285,joan's on third,90048,8350 w 3rd st,3236552285,1
568,730,2556,toast bakery cafe,90048,8221 w 3rd st,3236555018,berri's cafe,90048,8412 w 3rd st,3238520642,-1
569,731,1384,the original pantry,90017,877 s figueroa st,2139729279,original pantry cafe,90017,877 s figueroa st,2139729279,1
580,750,1037,nickel diner,90013,524 s main st,2136238301,nickel diner,90013,524 s main st,2136238301,1
609,786,1192,tiago coffee bar & kitchen,90028,7080 hollywood blvd,3234665600,public kitchen and bar,90028,7000 hollywood blvd,3237698888,-1
625,807,1008,the little beast,90041,1496 colorado blvd,3233415899,little beast restaurant,90041,1496 colorado blvd,3233415899,1
633,831,1412,tavern,90049,11648 san vincente blvd,3108066464,tavern,90049,11648 san vicente blvd,3108066464,1
638,837,1118,du-par's restaurant & bakery,90036,6333 w. 3rd st.,3239338446,andre's italian restaurant,90036,6332 w 3rd st,3239351246,-1
640,838,1104,fat sal's,90028,1300 n highland ave,8556824373,fat sal's,90028,1300 n highland ave,8556824373,1
641,838,2814,fat sal's,90028,1300 n highland ave,8556824373,fat tomato pizza,90028,1429 n highland ave,3239628833,-1
651,855,4149,the coffee co.,90045,8751 la tijera blvd,3106457315,the coffee co,90045,8751 la tijera blvd,3106457315,1
665,880,481,phil s deli & grill,90036,6333 w third st.,3239363704,loteria grill,90036,6333 w 3rd st,3239302211,-1
676,887,1092,the village idiot,90046,7383 melrose ave,3236553331,the village idiot,90046,7383 melrose ave,3236553331,1
680,893,4142,solar de cahuenga,90028,1847 cahuenga blvd,3234677510,solar de cahuenga,90028,1847 n cahuenga blvd,3234677510,1
719,956,992,palomino - los angeles,90024,10877 wilshire blvd ste 150,3102081960,palomino,90024,10877 wilshire blvd,3102081960,1
723,960,1593,aroma bakery cafe,90046,7373 w sunset blvd,3238508120,aroma bar and grill,90046,7373 w sunset blvd,3238508120,1
731,971,1565,sweetie pie's,91601,5230 lankershim blvd,8187611325,sweetie pie's noho,91601,5230 lankershim blvd,8187611325,1
736,974,3340,22nd street landing seafood grill & bar,90731,141 w 22nd st ste a,3105484400,neil's pasta & seafood grill,90731,383 w 5th st,3105483495,-1
743,989,1047,birds rotisserie chicken cafe and bar,90028,5925 franklin ave,3234650175,birds rotisserie chicken cafe & bar,90028,5925 franklin ave,3234650175,1
745,993,2396,taylor's steakhouse,90005,3361 w 8th st,2133828449,taylor's steakhouse,90005,3361 w 8th st,2133828449,1
749,996,1698,norms restaurant,90064,11001 w pico blvd,3104792978,cheng du restaurant,90064,11538 w pico blvd,3104774917,-1
757,1002,4393,nick's coffee shop & deli,90035,8536 w pico blvd,3106523567,the coffee bean & tea leaf,90035,9541 w pico blvd,3102829907,-1
770,1025,1786,denny's,90028,5751 west sunset blvd,2134648435,denny's,90028,5751 sunset blvd,3234648435,1
793,1067,1120,the park's finest,90026,1267 w temple st,2134182800,the park's finest,90026,1267 w temple st,2134812800,1
805,1091,4392,pico deli,90035,8826 w pico blvd,3102739381,pico cafe,90035,8944 w pico blvd,3103859592,-1
810,1099,1034,fundamental,90024,1303 westwood blvd,3104447581,fundamental la,90024,1303 westwood blvd,3104447581,1
831,1151,1490,cana rum bar,90015,714 w olympic blvd,2137457090,wolfgang puck bar & grill,90015,800 w olympic blvd,2137489700,-1
837,1156,2786,the park,90026,1400 w sunset blvd,2134829209,two boots echo park,90026,1818 w sunset blvd,2134132668,-1
842,1163,1540,spare tire kitchen & tavern,90036,5370 wilshire blvd,3235252618,spare tire,90036,5370 wilshire blvd,3235252618,1
846,1169,4296,the brentwood,90049,148 s barrington ave,3104763511,cafe brentwood,90049,150 s barrington ave,3104720766,-1
851,1173,4328,the wood cafe,90066,12000 w washington blvd,3109159663,the wood,90066,12000 w washington blvd,3109159663,1
865,1204,1113,black cat,90029,3909 w sunset blvd,3236616369,the black cat,90029,3909 w sunset blvd,3236616369,1
872,1214,4578,happy ending bar,90028,7038 w sunset blvd,3234697038,cafe bar,90028,6360 w sunset blvd,3234641524,-1
883,1241,4169,caffe etc,90028,6371 selma ave,3234648824,caffe etc,90028,6371 selma ave,3234648824,1
887,1244,3996,sunset junction coffee shop,90029,3916 w sunset blvd,3236611600,dinosaur coffee,90029,4334 w sunset blvd,,-1
888,1246,1406,the melt,90028,6290 w sunset blvd,,the melt sunset & vine,90028,6290 sunset blvd,2133444906,1
892,1255,4296,cafe brentwood,90049,150 s barrington ave,3104720766,cafe brentwood,90049,150 s barrington ave,3104720766,1
897,1261,170,el siete mares,90026,3131 w sunset blvd,3236650865,la playita siete mares,90026,3143 w sunset blvd,3236644604,-1
913,1278,4449,eatz cafe,90039,3207 los feliz blvd,3236612355,mimi's cafe,90039,2925 los feliz blvd,3236681715,-1
938,1317,250,taco fiesta,,4501 n figueroa st,3232235478,viva taco azteca,90042,5138 n figueroa st,8188630577,-1
950,1334,1389,billingsley's restaurant,90064,11326 w pico blvd,3104771426,gulp restaurant & brew pub,90064,10928 w pico blvd,3104740007,-1
957,1340,1144,overland cafe,90034,3601 overland ave,3105599999,the overland,90034,3601 overland ave,3105599999,1
971,1371,1021,mo better burger,90038,901 n la brea ave,,mo better burgers,90036,901 s la brea ave,3107378556,-1
972,1380,1499,mimi's cafe,90039,2925 los feliz blvd,3236681715,the village bakery and cafe,90039,3119 los feliz blvd,3236628600,-1
974,1380,4449,mimi's cafe,90039,2925 los feliz blvd,3236681715,mimi's cafe,90039,2925 los feliz blvd,3236681715,1
997,1442,1960,dave & buster's restaurant,90045,6081 center dr,3108469950,kabuki japanese restaurant,90045,6081 center dr,3106415524,-1
1006,1455,1369,little bar,90036,757 s la brea ave,3239379210,bludso's bar & que,90036,609 n la brea ave,3239312583,-1
1007,1455,2434,little bar,90036,757 s la brea ave,3239379210,la brea ramen bar,90036,850 s la brea ave,3235499486,-1
1011,1478,2336,pipers restaurant,90004,222 n western ave,3234657701,wassada restaurant,90004,377 n western ave,3234643006,-1
1016,1491,4212,59th & lex cafe,,10250 santa monica blvd,3107727189,hudson lobby cafe,90038,6541 santa monica blvd,3233569969,-1
1017,1491,4228,59th & lex cafe,,10250 santa monica blvd,3107727189,cafe chez marie,90025,10681 santa monica blvd,3104752949,-1
1029,1518,445,good microbrew & grill,90026,3725 w sunset blvd,3236603645,rodeo mexican grill,90026,1721 w sunset blvd,2134838311,-1
1030,1526,1172,lulu's cafe,90036,7149 beverly blvd,3239386095,lulu's cafe,90036,7149 beverly blvd,3239386095,1
1031,1528,1130,cork,90016,4771 west adams blvd,3237312030,the cork,90016,4771 w adams blvd,3237312030,1
1044,1552,1248,sunset grill hollywood,90046,7439 w sunset blvd,3238515557,bossa nova on sunset,90046,7181 w sunset blvd,3234367999,-1
1053,1576,1443,vermont restaurant and bar,90027,1714 n vermont ave,3236616163,il capriccio on vermont,90027,1757 n vermont ave,3236625900,-1
1062,1617,2133,smith and cohen grill deli bar,90025,10351 santa monica blvd,3104324361,kotoya japanese ramen & bar,90025,11901 santa monica blvd,3104771199,-1
1065,1625,1055,la fe,90026,1525 w. sunset blvd.,2134819896,haché la,90026,3319 w sunset blvd,3239282963,-1
1103,1695,174,calle tacos,90028,6508 hollywood blvd,3234659100,calle tacos,90028,6508 hollywood blvd,3234659100,1
1105,1697,55,b.s. taqueria,90014,514 w 7th st,2136223744,bs taqueria,90014,514 w 7th st,2136223744,1
1108,1699,282,trejo's tacos,90019,1048 s la brea ave,3239388226,trejo's tacos,90019,1048 s la brea ave,3239388226,1
1109,1700,72,cacao mexicatessen,90041,1576 colorado blvd,3234782791,cacao mexicatessen,90041,1576 colorado blvd,3234782791,1
1123,1712,215,el cholo,90015,1037 s flower st,2137467750,el cholo,90015,1037 s flower st,2137467750,1
1124,1713,71,the velvet margarita,90028,1612 n cahuenga blvd,8774868353,velvet margarita,90028,1612 n cahuenga blvd,3234692000,1
1132,1719,50,yuca's,90027,2056 hillhurst ave,3236621214,yuca's,90027,2056 hillhurst ave,3236621214,1
1134,1722,3,taqueria los anaya,90016,4651 w adams blvd,3237314070,taqueria los anaya,90016,4651 w adams blvd,3237314070,1
1140,1729,289,don antonio's,90064,11755 w pico blvd,3103122090,don antonio's,90064,11755 w pico blvd,3103122090,1
1147,1738,79,gloria's cafe,90034,10227 venice blvd,3108380963,gloria's cafe,90034,10227 venice blvd,3108380963,1
1151,1739,1615,chipotle mexican grill,90017,601 w 7th st,2132832058,seasalt fish grill,90017,812 w 7th st,2132435700,-1
1152,1740,280,tamayo,90022,5300 e. olympic blvd.,3232604700,tamayo restaurant,90022,5300 e olympic blvd,3232604700,1
1160,1748,41,cascabel,91802,10717 riverside dr,8188274210,cascabel,91602,10717 riverside dr,8189274210,1
1184,1772,350,clutch,90291,427 lincoln blvd,3103968749,clutch,90291,427 lincoln blvd,3103968749,1
1187,1775,3569,camacho's cantina,,1000 universal studios blvd,8186223333,camacho's cantina,91608,1000 universal ctr dr,8186223333,1
1200,1784,240,la salsa - union bank plaza,90071,445 s. figueroa ave.,2136838815,border grill downtown la,90071,445 s figueroa st,2134865171,-1
1218,1795,229,diablo taco,90026,3129 w sunset blvd,3236664666,diablo,90026,3129 w sunset blvd,3236664666,-1
1223,1798,309,benito's taco shop,90048,7912 beverly blvd,3239387427,benito's taco shop,90048,7912 beverly blvd,3239387427,1
1230,1804,155,casita del campo,90027,1920 hyperion ave,3236624255,casita del campo,90027,1920 hyperion ave,3236624255,1
1231,1805,42,tacos el gavilan,,7070 w sunset blvd,,el paisano,90026,1185 w sunset blvd,,-1
1238,1805,330,tacos el gavilan,,7070 w sunset blvd,,tacos el unico,90007,1375 w adams blvd,3237371044,-1
1244,1805,841,tacos el gavilan,,7070 w sunset blvd,,tacos el gallito truck,90015,917 w olympic blvd,,-1
1245,1805,847,tacos el gavilan,,7070 w sunset blvd,,last call tacos,90026,2939 1/2 w sunset blvd,3232182327,-1
1250,1807,151,lupe's burritos,90022,4642 e 3rd st,3232666881,lupe's burritos,90022,4642 e 3rd st,3232666881,1
1257,1815,3553,teresitas restaurant,90063,3826 e 1st st,3232666045,la perla restaurant,90063,3425 e 1st st,3232624507,-1
1264,1822,654,tacos clarita,90032,5024 huntington dr s,3232233844,tacos clarita,90032,5026 huntington dr n,3232233844,1
1276,1843,512,tacos los carnales,90011,4370 s central ave,3238461135,tacos los carnales,90011,4370 s central ave,3238461135,1
1295,1863,801,sergio's taco,90022,6601 e olympic blvd,3237262002,sergio's tacos,90022,6601 olympic blvd,3237262002,1
1299,1870,508,acapulco mexican delicatessen,90022,929 s kern ave,3232660267,acapulco mexicatessen,90022,929 s kern ave,3232660267,1
1309,1889,272,taqueria vista hermosa,90007,3655 s. grand ave. #c5,2137411251,taqueria vista hermosa,90007,3655 s grand ave,2137411251,1
1333,1918,366,burrito king sunset,90026,2109 w sunset blvd,2134849859,burrito king sunset,90026,2109 w sunset blvd,2134849859,1
1339,1928,3901,mi casita mexicana restaurant,91040,8069 foothill bivd,8183525250,mi casita,91040,8069 foothill blvd,8183525250,1
1344,1937,247,el arco iris,90042,5684 york blvd,3232543401,el arco iris,90042,5684 york blvd,3232543401,1
1350,1950,450,la fuente,90041,2256 colorado blvd,3232584303,la fuente no 3,90041,2256 colorado blvd,3232584303,1
1353,1953,3943,el indio mexicano restaurant,91325,17019 roscoe blvd,8187059259,el indio mexicano restaurant,91325,17019 roscoe blvd,8187059259,1
1354,1954,300,el gran burrito,90029,4716 santa monica blvd,3236658720,el comal,90029,5465 santa monica blvd,3239621706,-1
1357,1954,679,el gran burrito,90029,4716 santa monica blvd,3236658720,el taqueria huracan,90029,4525-4537 santa monica blvd,3235822640,-1
1361,1958,963,tacos manzano,91601,11160 burbank blvd,8186239599,tacos manzano,91601,11160 burbank blvd,8186239599,1
1364,1963,1586,pizza world,90036,365 s fairfax ave,3236532896,pizza world,90036,365 s fairfax ave,3236532896,1
1366,1964,278,my taco,90042,6300 york blvd,3232562698,my taco,90042,6300 york blvd,3232562698,1
1370,1968,684,la cabana restaurant fourth street,90033,2931 east 4th street,3232610703,la cabana restaurant,90033,2931 e 4th st,3232610703,1
1398,2004,423,fat burrito,90022,4504 floral dr,3232663514,fat burrito,90022,4504 floral dr,3232663514,1
1406,2005,491,tacos el compita,,4477 w pico blvd,,tacos como en el d.f. taco truck,90018,2431 w washington blvd,3109484714,-1
1430,2015,7,casa la dona,90014,800 s main st,2136277441,casa la doña,90014,800 s main st,2136277441,1
1431,2017,473,villa sombrero,90042,6101 york blvd,3232569784,villa sombrero,90042,6101 york blvd,3232569014,1
1470,2068,191,juquila restaurant,90025,11619 santa monica blvd,3103121079,monte alban restaurant,90025,11929 santa monica blvd,3104447736,-1
1474,2073,46,la canada taqueria,90019,3131 w pico blvd,3237333401,la cocinita,90019,4379 w pico blvd,3239371249,-1
1477,2073,1498,la canada taqueria,90019,3131 w pico blvd,3237333401,la cevicheria,90019,3809 w pico blvd,3237321253,-1
1487,2084,3842,el monge loco tortas gigantes,,3130 s wester ave,3234072953,el pollo loco,91205,235 s glendale ave,8185450700,-1
1496,2093,467,taqueria la que si llena,90063,3630 e cesar e chavez ave,3232611864,taqueria la que si llena,90063,3630 e cesar e chavez ave,3232611864,1
1497,2093,565,taqueria la que si llena,90063,3630 e cesar e chavez ave,3232611864,la blanquita carniceria,90063,4136 e cesar e chavez ave,3232650020,-1
1509,2100,835,no 'q' no taqueria,90019,3224 venice blvd,3237372283,no ‘q' no restaurant,90019,3224 venice blvd.,3237372283,1
1516,2107,260,la morena bakery and tortilleria,90033,2106 e cesar e chavez ave,3232661336,la barbacha,90033,2510 e cesar chavez ave,3232641451,-1
1530,2109,706,los petates,90022,6116 whittier blvd,3237234099,los petates,90022,6116 whittier blvd,3237234099,1
1534,2114,498,california mexican grill,90064,11106 w olympic blvd,3104730501,california mexican grill,90064,11106 w olympic blvd,3104730501,1
1560,2147,411,tacos el korita,,e olympic blvd and herbert ave,,el pelon tacos,90042,52 ave york blvd,,-1
1563,2147,685,tacos el korita,,e olympic blvd and herbert ave,,tacos el atoron,90058,1713 e vernon ave,3235211627,-1
1566,2147,3736,tacos el korita,,e olympic blvd and herbert ave,,tacos el gavilan,90240,7947 e florence ave,5629277486,-1
1567,2148,627,la pasadita tacos,90032,5434 huntington dr s,,la pasadita tacos,90032,5434 huntington dr s,,1
1568,2150,2163,golfo de fonseca restaurant,91331,9761 laurel canyon blvd,8188349492,cocohut thai restaurant,91331,10690 laurel canyon blvd,8183026145,-1
1581,2189,3697,rancheros tacos,91352,8447 sunland blvd,8185042789,rancheros tacos,91352,8447 sunland blvd,8185042984,1
1587,2201,142,la reyna restaurant,90021,2000 east 7th street,2136249879,la reyna restaurant,90021,2000 e 7th st,2136249879,1
1611,2220,740,rigos taco 4,90001,1816 firestone blvd,3235839657,rigos taco 4,90001,1816 firestone blvd,3235839657,1
1626,2239,710,tacos el unicos,90044,10006 s normandie ave,3232427447,tacos el unico,90044,10006 s normandie ave,3232427447,1
1638,2262,788,el atacor restaurant,90065,3520 n figueroa st,3233420180,el buen sabor,90065,4306 n figueroa st,3232251805,-1
1658,2295,4153,amandine patissiere cafe,90025,12225 wilshire blvd,3109793211,amandine patisserie cafe,90025,12225 wilshire blvd,3109793211,1
1660,2297,1759,sushi house,90064,12013 w pico blvd,3104791507,mori sushi,90064,11500 w pico blvd,3104793939,-1
1663,2300,2247,the ramen joint,90045,6220 w 87th street,4242279328,the ramen joint,90045,6220 w 87th st,4242279328,1
1669,2310,2198,sake house by hikari,90020,3465 w 6th st,2133894000,sake house by hikari,90020,3465 w 6th st,2133894000,1
1679,2317,2081,kyoto japanese restaurant,90020,3465 w 6th st,2133894000,kuishimbo restaurant,90020,3407 w 6th st,2133805049,-1
1683,2328,191,aki restaurant,90025,11513 santa monica blvd,3104798406,monte alban restaurant,90025,11929 santa monica blvd,3104447736,-1
1688,2333,1696,teishokuya of tokyo,90012,345 east 2nd street,2136800344,tot / teishokuya of tokyo,90012,345 e 2nd st,2136800344,1
1726,2421,2006,atch-kotch japanese restaurant,90038,1253 vine st,3234675537,atch-kotch japanese restaurant,90038,1253 vine st,3234675537,1
1739,2457,1447,desano pizza bakery,90029,4969 santa monica blvd,8436374225,guatemalteca bakery restaurant,90029,4770 santa monica blvd,3236638307,-1
1740,2457,1805,desano pizza bakery,90029,4969 santa monica blvd,8436374225,desano pizza bakery,90029,4959 santa monica blvd,3239137000,1
1770,2481,3406,obica mozzarella bar - century city,,10250 santa monica blvd,3105562452,bar pintxo,90401,109 santa monica blvd,3104582012,-1
1776,2488,2466,palermo ristorante italiano,90027,1858 n vermont ave,3236631430,palermo italian restaurant,90027,1858 n vermont ave,3236631430,1
1777,2489,2650,cantalini's salerno beach restaurant,90293,193 culver blvd,3108210018,cantalini's salerno beach restaurant,90293,193 culver blvd,3108210018,1
1797,2512,3021,south end,90291,2805 abbot kinney blvd,4242284736,south end,90291,2805 abbot kinney blvd,4242284736,1
1799,2514,2787,ancora cucina italiana,91356,19647 ventura blvd,8188818411,ancora cucina italiana,91356,19647 ventura blvd,8188818411,1
1810,2526,1268,miro,90017,888 wilshire blvd,2139888880,miro,90017,888 wilshire blvd,2139888880,1
1822,2539,1018,froma on melrose,90046,7960 melrose ave,3236533700,froma on melrose,90046,7960 melrose ave,3236533700,1
1824,2542,1051,berri's pizza cafe,90048,8412 w 3rd st,3238520642,doughboys cafe & bakery,90048,8136 w 3rd st,3238521020,-1
1826,2542,1247,berri's pizza cafe,90048,8412 w 3rd st,3238520642,cafe angelino,90048,8735 w 3rd st,3102461177,-1
1837,2549,2492,pistola,90048,8033 w 3rd st,3239519800,pistola,90048,8022 w 3rd st,3239519800,1
1860,2570,2591,stefano's two guys from italy,90028,6705 hollywood blvd,3234664552,stefano's - two guys from italy,90028,6705 hollywood blvd,3234630715,1
1866,2579,3368,vintage enoteca,90046,7554 w sunset blvd,3235125278,vintage enoteca,90046,7554 w sunset blvd,3235125278,1
1882,2592,1411,ball and chain restaurant,90028,1643 n cahuenga blvd,3234652255,ball & chain,90028,1643 n cahuenga blvd,3234652255,1
1892,2602,2643,ciabatta bar cucina italiana,90028,6464 w sunset blvd,3235001121,fabiolus cucina,90028,6270 w sunset blvd,3234672882,-1
1897,2606,1449,eagle rock italian bakery,90041,1726 colorado blvd,3232558224,spitz - eagle rock,90041,2506 colorado blvd,3232575600,-1
1902,2607,2550,sor tino,90049,908 s barrington ave,3104428466,sor tino restaurant,90049,908 s barrington ave,3104428466,1
1912,2617,2566,larocco's pizzeria,90045,8806 s sepulveda blvd,3106420029,larocco's pizzeria,90045,8806 s sepulveda blvd,3106420029,1
1920,2625,1247,olio pizzeria & cafe,90048,8075 w 3rd st,,cafe angelino,90048,8735 w 3rd st,3102461177,-1
1926,2630,2532,cuore dell amante,90015,123 e 9th st,2134884999,cuore dell amante,90015,123 e 9th st,2134884999,1
1947,2655,2948,stefano's,90045,6081 center dr ste 215,3102167716,stefano's pizzeria,90045,6081 center dr,3102167716,1
1948,2656,3157,slicetruck pizza,90025,1523 s bundy dr,3104449550,slicetruck pizza,90025,1523 s bundy dr,3104449550,1
1978,2695,2511,il segreto ristorante belair,90077,2932 n beverly glen cir,3104748644,il segreto ristorante belair,90077,2932 beverly glen cir,3104748644,1
1989,2711,2804,corsica italian delicatessen,91040,8111 foothill blvd,8183527213,corsica italian delicatessen,91040,8111 foothill blvd,8183527213,1
2006,2727,2926,pizza hut,12217,12217 santa monica blvd,3102077748,pizza hut,90029,4629 w santa monica blvd.,3236630400,-1
2008,2730,2698,gio cucina napoletana,91436,15826 ventura blvd,8189057446,gio cucina napoletana,91436,15826 ventura blvd,8189057446,1
2010,2737,3309,grecos new york pizza,90028,6814 hollywood blvd,3234691696,grecos pizza parlor,90028,6400 hollywood blvd,3234648212,-1
2019,2745,3002,pizza pauls,90029,4330 melrose ave,3236631219,gracie's pizza,90029,4330 melrose ave,3236631219,1
2021,2747,2899,victorio's,91606,10901 victory blvd.,8187629951,victorio's ristorante,91606,10901 victory blvd,8187629000,1
