ID,shop name,postal code,phone number,street address,yelp star,yelp price,yelp number of reviews,advisor star,advisor price,advisor number of reviews
51,bulan thai vegetarian kitchen,90046,3238571882,7168 melrose ave,$$,540,4.5,$$ - $$$,40
52,road to seoul,90006,3237319292,1230 s western ave,$$,3004,4.5,$$ - $$$,56
53,kula revolving sushi bar,90012,2132909631,333 e 2nd st,$,771,4,$$ - $$$,49
54,hoy-ka thai noodles,90028,3236883558,5908 sunset blvd,$,804,4.5,$,22
55,robata jinya,90048,3236538877,8050 west 3rd st,$$,805,4.5,$$ - $$$,35
56,araya's place - thai vegan restaurant,90048,3239000557,8101 beverly blvd,$$,391,5,$$ - $$$,15
57,oo-kook korean bbq,90005,2133855665,3385 w 8th st,$$,1119,4,$$ - $$$,30
58,palm's thai restaurant,90028,3234625073,5900 hollywood blvd,$$,2093,4,$$ - $$$,170
59,pailin thai cuisine,90028,3234676775,5621 hollywood blvd,$,263,4.5,$,22
60,roc sawtelle,90025,3102352089,2049 sawtelle blvd,$$,1346,4,$$ - $$$,36
61,ekkamai thai restaurant,90066,3108272777,13223 w washington blvd,$$,682,4,$$ - $$$,26
62,hide sushi japanese restaurant,90025,3104777242,2040 sawtelle blvd,$$,1361,4,$$ - $$$,82
63,orochon ramen,90012,2136171766,123 astronaut e s onizuka st,$,2734,4,$,75
64,park's bbq,90006,2133801717,955 s vermont ave,$$$,1244,4.5,$$ - $$$,51
65,hollywood thai,90027,3234670926,5241 hollywood blvd,$$,312,4.5,$$ - $$$,24
66,night + market song,90026,3236655899,3322 w sunset blvd,$$,422,4.5,$$ - $$$,24
67,kabuki japanese restaurant,90045,3106415524,6081 center dr,$$,606,4,$$ - $$$,57
68,kazunori,90013,2134936956,421 s main st,$$,1384,4.5,$$ - $$$,22
69,bao dim sum house,90048,3236556556,8256 beverly blvd,$$,1719,4,$$ - $$$,84
70,sushi enya,90012,2136263692,343 e 1st st,$$,820,4.5,$$ - $$$,16
71,shabu shabu house,90012,2136803890,127 japanese village plaza mall,$$,1283,4.5,$$ - $$$,67
72,hurry curry of tokyo,90025,3104731640,2131 sawtelle blvd,$$,1305,4,$,48
73,blossom restaurant,90013,2136231973,426 s main st,$$,995,4,$$ - $$$,44
74,ruen pair,90027,3234660153,5257 hollywood blvd,$,1226,4,$$ - $$$,29
75,singapore's banana leaf,90036,3239334627,6333 w 3rd st,$,565,4,$,75
76,la rose cafe,90029,3236624024,4749 fountain ave,$$,664,4.5,,28
77,golden dragon restaurant,90012,2136262039,960 n broadway,$$,451,4,$$ - $$$,51
78,beverly soon tofu restaurant,90006,2133801113,2717 w olympic blvd,$$,1070,4.5,$$ - $$$,29
79,sanamluang cafe,90027,3236608006,5176 hollywood blvd,$,1111,4,$,68
80,ham ji park,90019,3237338333,4135 w pico blvd,$$,115,4.5,$$ - $$$,15
81,hoy's wok,90046,3238506637,7105 w sunset blvd,$,262,4,$,25
82,bugis street brasserie,90013,2136241100,501 s olive st,$$,82,4,$$ - $$$,50
83,sushi zo,90034,4242015576,9824 national blvd,$$$$,686,4.5,$$$$,39
84,seoul house of tofu,90025,3104449988,2101 sawtelle blvd,$$,587,4,$$ - $$$,21
85,phoenix inn chinese cuisine,90012,2136292812,301 ord st,$$,291,4.5,,16
86,soot bull jeep,90005,2133873865,3136 w 8th st,$$,772,4.5,$$ - $$$,45
87,maruya,90012,2136139988,104 japanese village plaza mall,$$,423,4,$$ - $$$,21
88,ahgassi gopchang,90005,2132499678,3744 w 6th st,$$,769,4.5,$$ - $$$,12
89,soi 7,90014,2135370333,518 w 7th st,$$,635,4,$$ - $$$,40
90,chinese friends restaurant,90012,2136261837,984 n broadway,$$,239,4.5,$,18
91,curry house,90012,2136200855,123 s onizuka st,$$,991,4,$,47
92,tara's himalayan cuisine,90034,3108369696,10855 venice blvd,$$,914,4,$$ - $$$,41
93,urban ramen,90046,3235126077,7300 w sunset blvd,$$,521,4,$,29
94,noshi sushi,90004,3234693458,4430 beverly blvd,$$,1035,4,$$ - $$$,23
95,shu sushi house unico,90077,3104742740,2932 1/2 beverly glen circle,$$$,113,4.5,$$ - $$$,18
96,furaibo restaurant,90025,3104441432,2068 sawtelle blvd,$$,988,4,$$ - $$$,51
97,sushi go 55,90013,2136870777,333 s alameda st,$$,849,4.5,$$ - $$$,24
98,it's pho,90028,3233807998,1821 n cahuenga blvd,$$,455,4.5,,15
99,gyu-kaku japanese bbq,90064,3102348641,10925 w pico blvd,$$,842,4,$$ - $$$,49
100,seoul garden restaurant,90006,2133868477,1833 w olympic blvd,$$,426,4,$$ - $$$,29
101,suehiro cafe,90012,2136269132,337 e 1st st,$$,1045,4,$,34
102,trio house,90007,2137410101,3031 s figueroa st,$$,312,4,$$ - $$$,15
103,mizu 212,90025,3104788979,2000 sawtelle blvd,$$$,486,4.5,,24
104,far bar,90012,2136179990,347 e 1st st,$$,1612,4,$$ - $$$,24
105,hokkaido ramen santouka,90066,3103911101,3760 s centinela ave,$,1991,4.5,$,44
106,kobawoo house,90005,2133897300,698 s vermont ave,$$,866,4.5,$$ - $$$,19
107,daichan,91604,8189808450,11288 ventura blvd,$$,705,4.5,$$ - $$$,28
108,seoul sausage company,90025,3104777739,11313 mississippi ave,$,1224,4,$,22
109,sapp coffee shop,90027,3236651035,5183 hollywood blvd,$,650,4.5,$,18
110,ayce gogi,91405,8184653050,7128 van nuys blvd,$$,478,4.5,$$ - $$$,7
111,the palace seafood & dim sum,90025,3109793377,11701 wilshire blvd,$$,362,4,$$ - $$$,25
112,my ramen bar,90012,2136139888,321 1/4 e 1st st,$$,438,4.5,$,13
113,gobi mongolian bbq house,90026,2139890711,2827 w sunset blvd,$$,583,4.5,$$ - $$$,18
114,arashi sushi,90015,2137491900,1111 s hope st,$$,576,4.5,$$ - $$$,31
115,dong ii jang restaurant,90005,2133835757,3455 w 8th st,$$,490,4.5,$$ - $$$,26
116,shunji japanese cuisine,90064,3108264737,12244 w pico blvd,$$$$,232,4.5,,16
117,simpang asia,90034,3108159075,10433 national blvd,$,974,4.5,$,30
118,moodaepo ii,90005,2133819990,3014 w 7th st,$$,1376,4.5,,12
119,nong la cafe,90025,3102681881,2055 sawtelle blvd,$$,1104,4.5,$,13
120,melanee thai,90035,3102734066,9562 w pico blvd,$$,285,4.5,$$ - $$$,21
121,ocha classic,90005,2133834249,835 s vermont ave,$$,377,4,$,11
122,shanghai glatt kosher,90035,3105530998,9401 w pico blvd,$$,113,4,$$ - $$$,19
123,jinya ramen bar,90036,3239546477,5168 wilshire bld,$$,387,4.5,,12
124,mr noodle,90024,3102087808,936 broxton ave,$,570,4,$,27
125,chibiscus asian cafe,90046,3234519896,7361 w sunset blvd,$$,788,4.5,,11
126,octopus japanese restaurant,90017,2134021500,729 w. 7th street,$$,1198,4,$$ - $$$,39
127,sakura house,90066,3103067010,13362 w washington blvd,$$,262,4.5,$$ - $$$,14
128,baroo,90038,3238194344,5706 santa monica blvd,$$,171,4.5,$$ - $$$,6
129,pho 87,90012,3232270758,1019 n broadway,$,998,4,$,24
130,kiku sushi,90004,3234641323,246 n larchmont blvd,$$,287,4,$$ - $$$,19
131,chung ki wa,90019,3237370809,3545 w olympic blvd,$$,313,4.5,$$ - $$$,12
132,escala,90020,2133871113,3451 w 6th st,$$,556,4.5,$$ - $$$,12
133,won kok restaurant,90012,2136130700,210 alpine st,$,767,4,$,30
134,eight korean bbq,90005,2133651750,863 s western ave,$$,1216,4.5,,5
135,tawanna thai,90048,3239392450,6236 wilshire blvd,$$,271,4,$,20
136,manpuku tokyo bbq,90025,3104730580,2125 sawtelle blvd,$$,482,4.5,$$ - $$$,32
137,slurpin' ramen bar,90005,2133888607,3500 w 8th st,$$,1182,4.5,,6
138,sticky rice,90013,2136212865,317 s broadway,$$,525,4,$,16
139,emporium thai,90024,3104782838,1275 westwood blvd,$$,1092,4,$$ - $$$,44
140,red corner asia,90027,3234666722,5267 hollywood blvd,$$,694,4,$$ - $$$,35
141,mae ploy restaurant,90026,2133539635,2606 w sunset blvd,$,377,4.5,$,15
142,viet noodle bar atwater,90039,3239061575,3133 glendale blvd,$$,452,4,$$ - $$$,16
143,hamakaze sushi izakaya,90066,3108229900,13327 w washington blvd,$$,345,4.5,$$ - $$$,17
144,myung dong kyoja,90010,2133857789,3630 wilshire blvd,$,930,4,$$ - $$$,18
145,o'woks,90035,3102461326,8657 w pico blvd,$$,57,4.5,,7
146,peking tavern,90014,2139888308,806 s spring st,$$,506,4,$$ - $$$,15
147,a-won japanese restaurant,90006,2133896764,913 s vermont ave,$$,211,4,$$ - $$$,10
148,sakura japanese restaurant,90066,3108227790,4545 s centinela ave,$$,736,4,$$ - $$$,37
149,the bun shop,90004,3234681031,151 n western ave,$,844,4.5,,10
150,vegan glory,90048,3236534900,8393 beverly blvd,$$,625,4,$,35
151,nanbankan,90025,3104781591,11330 santa monica blvd,$$,564,4.5,$$ - $$$,27
152,mandarette chinese cafe,90048,3236556115,8386 beverly blvd,$$,213,4,$$ - $$$,34
153,cha cha chili,90032,3232228900,4625 valley blvd,$,918,4.5,,7
154,fresh in the box,90066,3103019100,13354 w washington blvd,$$,348,5,$$ - $$$,12
155,han bat sul lung tang,90020,2133839499,4163 w 5th st,$,1358,4.5,$,11
156,sushi masu,90025,3104464368,1911 westwood blvd,$$$,383,4.5,$$ - $$$,21
157,izakaya fu-ga,90012,2136251722,111 s san pedro st,$$,687,4.5,$$ - $$$,17
158,wokcano,90046,3234509037,8000 w sunset blvd,$$,209,4,$$ - $$$,16
159,vegan house,90026,2134832105,2703 w sunset blvd,$,311,4,$,15
160,hop louie,90012,2136284244,950 mei ling way,$,238,4,$$ - $$$,18
161,kaya street kitchen,90036,3238799288,109 n fairfax ave,$,529,4.5,$,7
162,hu's szechwan restaurant,90034,3108370252,10450 national blvd,$$,293,4.5,$$ - $$$,20
163,yuko kitchen,90036,3239334020,5484 wilshire blvd,$$,1063,4,$,16
164,feast from the east,90025,3104750400,1949 westwood blvd,$$,391,4,$$ - $$$,22
165,yabu restaurant,90064,3104739757,11820 w pico blvd,$$,344,4.5,$$ - $$$,26
166,shophouse southeast asian kitchen,90024,4244421171,1059 broxton ave,$,248,4,$,10
167,yai restaurant,90028,3234620292,5757 hollywood blvd,$,428,4,$,24
168,king buffet,90027,3234689398,1375 n western ave,$$,273,4,$,23
169,toshi sushi,90012,2136804166,359 e 1st st,$$,332,4.5,$$ - $$$,15
170,lemongrass,90041,3232588050,1952 colorado blvd,$,113,4.5,$$ - $$$,17
171,full house seafood restaurant,90012,2136178382,963 n hill st,$$,529,4,$$ - $$$,25
172,ocean seafood restaurant,90012,2136873088,750 n hill st,$$,828,3.5,$$ - $$$,88
173,kiriko,90064,3104787769,11301 w olympic blvd,$$$,395,4,$$ - $$$,24
174,hodori restaurant,90006,2133833554,1001 s vermont ave,$$,875,4,$$ - $$$,23
175,boba loca,90024,3104438911,10946 weyburn ave,$,308,5,$,6
176,ondal 2,90016,3239333228,4566 w washington blvd,$$,375,5,$$ - $$$,3
177,feng mao lamb kebab,90019,3237469644,3901 w olympic blvd,$$,283,5,,4
178,khun dom thai,90029,3236631086,4681 melrose ave,$,107,4.5,,2
179,hashi,90012,2136170237,442 e 2nd st,$$,191,4.5,,4
180,ob bear,90005,2134804910,3002 w 7th st,$$,578,4,$$ - $$$,5
181,meizhou dongpo restaurant,90067,3107880120,10250 santa monica blvd,$$$,403,3.5,$$ - $$$,21
182,mitsuru cafe,90012,2136131028,117 japanese village plz mall,$,655,4,,22
183,tuk tuk thai,90035,3108601872,8875 w pico blvd,$$,352,4,$$ - $$$,20
184,bud namu korean bbq,90005,2133859292,809 s ardmore ave,$$,959,4.5,,7
185,the prince,90005,2133891586,3198 1/2 w 7th st,$$,446,4.5,,7
186,taiko,90049,3102077782,11677 san vicente blvd,$$,168,4,$$ - $$$,14
187,chunju han-il kwan,90020,2134801799,3450 w 6th st,$$,565,4,$$ - $$$,8
188,western doma noodles,90004,3238711955,429 n western ave,$,451,4,,10
189,chao krung restaurant,90036,3239398361,111 n fairfax ave,$$,198,4,$$ - $$$,17
190,ramayani,90024,3104773315,1777 westwood blvd,$$,405,4,$$ - $$$,24
191,chan dara restaurant,90004,3234671052,310 n larchmont blvd,$$,298,4,$$ - $$$,23
192,pho cafe,90026,2134130888,2841 w sunset blvd,$,1193,4,$,37
193,wat dong moon lek noodle,90029,3236665993,4356 fountain ave,$$,757,5,,5
194,green leaves vegan,90027,3236642345,1769 hillhurst ave,$,523,4.5,$,15
195,kouraku restaurant,90012,2136874972,314 e 2nd st,$,866,3.5,$,27
196,korean kitchen hibachi barbeque,90012,2136801039,135 japanese village pl mall,$$,251,4,$,10
197,bibigo,90024,3108240011,1091 broxton ave,$,476,4,$,20
198,wasabi japanese noodle house,90010,2133410999,3444 wilshire blvd,$,180,4,,7
199,hop woo,90012,2136173038,845 n broadway,$$,334,3.5,$$ - $$$,38
200,three flames mongolian bar-b-q,90045,3106416868,5608 w manchester ave,$$,145,4,$,9
201,dan sung sa,90020,2134879100,3317 w 6th st,$$,571,4,$$ - $$$,9
202,gushi,90024,3102084038,978 gayley ave,$,864,4,,16
203,khan shabu shabu,90004,3234656688,210 n western ave,$$,280,4,$$ - $$$,8
204,eight korean bbq,90005,2133651750,863 s western ave,$$,1216,4.5,,7
205,galbi king,90064,3104776075,11267 national blvd,$$,322,4,$,14
206,tofu ya,90025,3104732627,2021 sawtelle blvd,$$,962,4,$,20
207,gingergrass,90039,3236441600,2396 glendale blvd,$$,905,4,$$ - $$$,69
208,honey pig,90005,2133800256,3400 w 8th st,$$,831,4,$$ - $$$,26
209,torung restaurant,90028,3234642750,5657 hollywood blvd,$,385,4,$,21
210,myung dong noodle house,90005,2132511066,698 irolo st,$,81,4,,2
211,hangari kalguksu,90020,2133882326,3470 w 6th st,$$,605,4,,6
212,kyochon,90020,2137399292,3833 w 6th st,$$,1619,4,$,21
213,first szechuan wok,90024,3102087785,10855 lindbrook dr,$$,142,3.5,,15
214,zencu sushi & grill,90012,2136877780,319 e 2nd st,$$,445,3.5,$$ - $$$,15
215,pho 2000,90004,3234615845,215 n western ave,$,430,4,$,25
216,bang na thai fusion,90012,3236986569,637 n spring st,$$,115,4,$$ - $$$,4
217,chi dynasty,90027,3236673388,1813 hillhurst ave,$$,366,4,$$ - $$$,30
218,wako donkasu,90006,2133879256,2904 w olympic blvd,$$,444,4,$$ - $$$,6
219,abc seafood restaurant,90012,2136802887,708 new high st,$,231,3.5,$,17
220,thai dishes,90045,3103420046,6234 w manchester ave,$$,294,3.5,$$ - $$$,20
221,hop woo,90064,3105753668,11110 w olympic blvd,$$,275,4,,19
222,o dae san korean bbq,90006,2133839800,2889 w olympic blvd,$$,1217,3.5,$$ - $$$,15
223,twin dragon chinese restaurant,90035,3106577355,8597 w pico blvd,$$,363,3.5,$$ - $$$,23
224,olympic noodle,90019,3239310007,4008 w olympic blvd,$,288,4,,4
225,crème caramel la,91411,8189498352,14849 burbank blvd,$$,506,4,$,1
226,plato,90005,2133831984,3474 w 8th st,$$,153,4,,1
227,nak won house,90006,2133888889,1001 s vermont ave,$$,308,3.5,,7
228,corner place,90006,2134870968,2819 james m wood blvd,$$,792,4,$,16
229,shabu hyang,90010,2133845464,3807 wilshire blvd,$$,236,3.5,$$ - $$$,3
230,healthy zone jook hyang,90006,2134875002,3177 w olympic blvd,$$,171,2.5,,3
231,bamboo house,90027,3236682437,4852 hollywood blvd,$$,184,4,,3
232,bak kung korean bbq,90019,3237349292,3700 w olympic blvd,$$,210,3.5,$$ - $$$,5
233,gam ja gol,90006,2133816446,3003 w olympic blvd,$$,275,4,,4
234,haus by coffee hunter,90020,2133885311,3826 w 6th st,$$,1030,3,$$ - $$$,9
235,noodle world jr.,90045,3102169888,8636 s sepulveda blvd,$,135,3,,6
236,pho thai town,90027,3236670934,5136 hollywood blvd,$,239,3.5,,2
237,blue cow kitchen & bar,90071,2136212249,350 s grand ave,$$,940,4,,8
238,cafe nandarang,90020,2133888513,3815 w 6th st,$$,303,3.5,,2
239,plum tree inn,90012,2136131819,913 n broadway,$$,295,4,$$ - $$$,42
240,shanghai rose,91604,8187622542,12229 ventura blvd,$$,169,3,$$ - $$$,12
241,asahi ramen,90025,3104792231,2027 sawtelle blvd,$,647,4,$,33
242,fu's palace,90035,3102717887,8751 w pico blvd,$$,281,3,$$ - $$$,13
243,yohana sushi & asian cuisine,90064,3108376278,2536 overland ave,$$,119,-1,,-1
244,house of macau,90028,3237455038,1600 vine st,$$,128,-1,,-1
245,roasted sesame kitchen,90029,3233504641,4632 santa monica blvd,$,27,-1,$$ - $$$,-1
246,miari noodle house,90006,3237350647,3224 w olympic blvd,$,76,-1,,-1
247,zen mei bistro,90012,2136267113,800 yale st,$,105,4.5,$,9
248,uncle john's cafe,90017,2136233555,834 s grand ave,$,263,4.5,$,10
249,little china restaurant,90068,3239698838,3535 cahuenga blvd w,$,139,4.5,$,9
250,wah's golden hen,90029,3236610093,709 n virgil ave,$,275,5,$,5
251,moon house chinese cuisine,90025,3109669988,11058 santa monica blvd,$$,286,4.5,,10
252,china cafe at grand central market,90013,2136288481,317 s broadway,$,153,4.5,,8
253,eagle rock green dragon,90041,3232558889,1735 colorado blvd,$$,307,4.5,$$ - $$$,8
254,golden city seafood restaurant,90012,2132532660,960 n hill st,$,201,4.5,$$ - $$$,9
255,siam chan,90066,3109157408,12470 venice blvd,$,174,4,,8
256,liliya china bistro,90012,2136201717,108 w 2nd st,$$,117,4.5,,13
257,cheng du restaurant,90064,3104774917,11538 w pico blvd,$$,221,4,$$ - $$$,12
258,regent china inn,90012,2136803333,747 n main st,$,217,4,$,11
259,heung rae gak,90020,2133830178,357 s western ave,$$,107,5,,2
260,new panda buffet,90016,3232915555,5120 rodeo rd,$,109,5,,2
261,hunan tasty - temp. closed,90036,3239365621,6031 san vicente blvd,$$,151,4.5,,10
262,the new moon,90015,2136240186,102 w 9th st,$$,204,4.5,$$ - $$$,6
263,wok on fire,90035,3102890102,1447 s la cienega blvd,$$,234,4.5,,3
264,hunan cafe,90046,3238221208,7986 sunset blvd,$$,172,4.5,$$ - $$$,10
265,mandarin kitchen,90025,3104419651,1822 westwood blvd,$,283,4,,6
266,coral reef chinese restaurant,90039,3236603260,3200 glendale blvd,$,106,4.5,,2
267,chuan chim,90028,3234626221,5644 hollywood blvd,$,80,4.5,,3
268,green tea house,90046,3238746777,7226 w sunset blvd,$,216,4.5,,5
269,california wok,90025,3102072852,12004 wilshire blvd,$$,196,3.5,$$ - $$$,11
270,shin beijing,90006,2133813003,3101 w olympic blvd,$$,163,4.5,,5
271,master chef restaurant,90012,2136873638,937 n hill st,$$,446,4,,7
272,kim chuy restaurant,90012,2136877215,727 n broadway,$,177,3.5,,8
273,chinatown express,90026,2139287495,1411 echo park ave,$,58,4,,1
274,howard's cafe,90006,2133857991,1051 s alvarado st,$,56,4,,1
275,regent china inn,90012,2136803333,747 n main st,$,217,4,$$ - $$$,3
276,ok chinese restaurant,90042,3232592414,6320 n figueroa st,$,95,3,,3
277,the palace,90027,3236671595,2112 hillhurst ave,$$,497,4.5,$$ - $$$,9
278,paul's kitchen,90015,2137495004,1012 s san pedro st,$$,214,3.5,,3
279,the palace seafood & dim sum,90025,3109793377,11701 wilshire blvd,$$,362,3,$$ - $$$,5
280,vim thai-chinese restaurant,90027,3236621017,5132 hollywood blvd,$$,123,3,$$ - $$$,5
281,the dragon restaurant,90006,2133878833,966 s vermont ave,$$,237,4,,6
282,jin jiang restaurant,90025,3104447171,11057 santa monica blvd,$$,284,3.5,$$ - $$$,8
283,yee's chinese food,90043,3232954224,4400 w slauson ave,$,136,3,$,6
284,rene cafe,90017,2136899898,1123 w 7th st,$$,52,3,$,1
285,egg roll king,90065,3232565271,3111 n san fernando rd,$,28,-1,,-1
286,cemitas la china poblana,90023,3232638310,3568 whittier blvd,$,126,-1,,-1
287,san hing,90034,3103981689,11136 palms blvd,$,100,-1,,-1
288,the griddle cafe,90046,3238740377,7916 w sunset blvd,$$,4516,4.5,$$ - $$$,1131
289,water grill,90071,2138910900,544 s grand ave,$$$,1525,4.5,$$$$,536
290,philippe the original,90012,2136283781,1001 n alameda st,$,4918,4.5,$,1483
291,craft,90067,3102794180,10100 constellation blvd,$$$$,1457,4.5,$$$$,413
292,langer's,90057,2134838050,704 s alvarado st,$$,2936,4.5,$$ - $$$,352
293,eggslut,90013,2136250292,317 s broadway,$,3928,4.5,$,238
294,the cheesecake factory,90036,3236340511,189 the grove dr,$$,890,4.5,$$ - $$$,1386
295,lemonade,90291,3104526200,1661 abbot kinney blvd,$$,1247,4.5,$$ - $$$,280
296,joan's on third,90048,3236552285,8350 w 3rd st,$$,1825,4.5,$$ - $$$,400
297,bottega louie,90017,2138021470,700 s grand ave,$$,13803,4.5,$$ - $$$,1301
298,25 degrees,90028,3237857244,7000 hollywood blvd,$$,1652,4.5,$$ - $$$,530
299,the pie hole,90013,2135370115,714 traction ave,$$,2497,4.5,$$ - $$$,194
300,canter's deli,90036,3236512030,419 n fairfax ave,$$,2701,4,$$ - $$$,508
301,the restaurant at the getty center,90049,3104406810,1200 getty center dr,$$$,483,4.5,$$$$,470
302,cafe at the getty center,90049,,1200 getty center dr,$$,23,4.5,$$$$,470
303,toast bakery cafe,90048,3236555018,8221 w 3rd st,$$,1468,4.5,$$ - $$$,254
304,original pantry cafe,90017,2139729279,877 s figueroa st,$$,2160,4,$,596
305,mel's drive in,90028,3234652111,1650 n highland ave,$$,627,4,$$ - $$$,614
306,yard house,90015,2137459273,800 west olympic blvd,$$,1829,4,$$ - $$$,433
307,roscoe's house of chicken & waffles,90028,3234667453,1514 n gower st,$$,2884,4,$,621
308,aroma coffee & tea,91604,8185086505,4360 tujunga ave,$$,2219,4.5,$$ - $$$,205
309,gjusta,90291,3103140320,320 sunset ave,$$,615,4.5,$$ - $$$,97
310,the counter downtown la,90017,2132287800,725 w 7th st,$$,674,4.5,$$ - $$$,155
311,redbird,90012,2137881191,114 e 2nd st,$$$,676,4.5,$$$$,126
312,truxton's american bistro,90045,3104178789,8611 truxton ave,$$,918,4,$$ - $$$,153
313,urth caffé - downtown,90013,2137974534,451 s hewitt st,$$,4088,4.5,$$ - $$$,181
314,nickel diner,90013,2136238301,524 s main st,$$,2123,4.5,$,223
315,rainbow bar & grill,90069,3102784232,9015 w sunset blvd,$$,657,4.5,$$ - $$$,298
316,animal,90036,3237829225,435 n fairfax ave,$$$,2902,4.5,$$$$,217
317,otium,90012,2139358500,222 s hope st,$$$,752,4,$$$$,150
318,cassell's hamburgers,90020,2133875502,3600 w 6th st,$$,403,4.5,$$ - $$$,86
319,veggie grill,90046,3238227575,8000 w sunset blvd,$$,889,4.5,$,138
320,alcove café & bakery,90027,3236440100,1929 hillhurst ave,$$,3445,4.5,$$ - $$$,244
321,wolfgang puck at hotel bel-air,90077,3104721211,701 stone canyon rd,$$$$,200,4.5,$$$$,83
