shop name,postal code,phone number,star,price,number of reviews,street address
Chaya Brasserie,90001,+1 310-859-8833,4.0,$$$$,104,8741 Alden Dr
Take A Bao,,,4.5,$$ - $$$,23,11838 Ventura Boulevard
Sushi Go 55,,+1 213-687-0777,4.5,$$ - $$$,24,"333 S. Alameda, Suite 317"
IT'S PHO Hollywood,90028-5001,+1 323-380-7998,4.5,,15,1821 N Cahuenga Blvd
Gyu-Kaku Japanese BBQ Dining,90064-2111,+1 310-234-8641,4.0,$$ - $$$,49,10925 W Pico Blvd
Tomoya Sushi and Izakaya,91367-3743,+1 818-703-0318,4.0,$$ - $$$,23,6020 Canoga Ave # 100
Seoul Garden Restaurant,90006-3701,+1 213-386-8477,4.0,$$ - $$$,29,1833 W Olympic Blvd
Ramenya,90064-1522,+1 310-575-9337,4.0,$,24,11555 W Olympic Blvd
Suehiro Cafe,90012-3901,+1 213-626-9132,4.0,$,34,337 E 1st St
Kinnara Thai,91406-4200,+1 818-988-7788,4.5,$$ - $$$,20,15355 Sherman Way
Trio House,90007-3737,+1 213-741-0101,4.0,$$ - $$$,15,3101 S Figueroa St
Mizu 212 Degrees,90025-6230,+1 310-478-8979,4.5,,24,2000 Sawtelle Blvd
Far Bar,90012-3901,+1 213-617-9990,4.0,$$ - $$$,24,347 E 1st St
Santouka Ramen,90066,+1 310-391-1101,4.5,$,44,3760 S Centinela Ave
Kobawoo Restaurant,90005-4721,+1 213-389-7300,4.5,$$ - $$$,19,698 S Vermont Ave Ste 109
Daichan,91604,+1 818-980-8450,4.5,$$ - $$$,28,11288 Ventura Boulevard
CBS Seafood Restaurant,90012-2824,+1 213-617-2323,3.5,$$ - $$$,45,700 N Spring St
Kura Sushi,90045,+1 310-568-9800,4.0,$$ - $$$,26,5567 W Manchester Ave
Seoul Sausage Co.,90025-6227,,4.0,$,22,11313 Mississippi Ave
Sapp Coffee Shop,90027-6113,+1 323-665-1035,4.5,$,18,5183 Hollywood Blvd
Natalee Thai,90232,+1 310-202-7003,3.5,$$ - $$$,82,10101 Venice Blvd
Manna Korean BBQ,90013-1740,+1 213-617-0306,4.0,$$ - $$$,41,333 S Alameda St
Ayce,91405-3005,8184653050,4.5,$$ - $$$,7,7128 Van Nuys Blvd
Palace Seafood and Dim Sum,90025-1546,,4.0,$$ - $$$,25,11701 Wilshire Blvd
Komasa,90012,+1 213-680-1792,4.5,$$ - $$$,19,351 E Second Street
Manichi Ramen,90012-3901,+1 213-613-9888,4.5,$,13,321 1/4 E 1st St
Lum-Ka-Naad Thai Restaurant,91324,+1 818-882-3028,4.5,$$ - $$$,33,8920 Reseda Blvd
Bamboo Cuisine,91423-3512,+1 818-788-0202,4.0,$$ - $$$,46,14010 Ventura Blvd
Gobi Mongolian BBQ,90026-2125,+1 213-989-0711,4.5,$$ - $$$,18,2827 W Sunset Blvd
Shiki Sushi,,+1 818-487-3938,4.5,$$ - $$$,12,12745 Ventura Blvd
P.F. Chang's,91403,+1 818-784-1694,4.0,$$ - $$$,45,15301 Ventura Blvd
Wasabi on CityWalk,91608-1008,+1 818-763-8813,3.5,$$ - $$$,62,1000 Universal Studios Blvd
Arashi Sushi,,,4.5,$$ - $$$,31,1111 S. Hope St. #100
Castle Korean BBQ,90010-2603,+1 213-388-1988,4.0,,34,3600 Wilshire Blvd
Dong Il Jang Restaurant,90005-2517,+1 213-383-5757,4.5,$$ - $$$,26,3455 W 8th St
SushiStop,90028-5515,+1 323-468-2496,4.5,,13,5917 Franklin Ave
Kushiyu,91356-3302,+1 818-609-9050,4.0,$$ - $$$,40,18713 Ventura Blvd
Gyu-Kaku Japanese BBQ,91423-2606,+1 818-501-5400,3.5,$$ - $$$,34,14457 Ventura Blvd
Shunji's Japanese Cuisine,90064-1135,+1 310-826-4737,4.5,,16,12244 W Pico Blvd
Simpang Asia,90034,+1 310-815-9075,4.5,$,30,10433 National Blvd # 213
Chi's Chinese Cuisine,91324-2018,+1 818-886-6928,4.0,$$ - $$$,13,9635 Reseda Blvd
Moodaepo II,90005-1488,+1 213-381-9990,4.5,,12,3014 W 7th St
Nong La Cafe,90025-6229,+1 310-268-1881,4.5,$,13,2055 Sawtelle Blvd
Melanee Thai,90035-1214,+1 310-273-4066,4.5,$$ - $$$,21,9562 W Pico Blvd
Ocha Classic,90005-1522,+1 213-385-3657,4.0,$,11,835 S Vermont Ave
Teru Sushi,91604-2606,+1 818-763-6201,4.0,$$ - $$$,23,11940 Ventura Blvd
Shanghai Diamond Garden,90035-1209,+1 323-879-3463,4.0,$$ - $$$,19,9401 West Pico Boulevard
AMI Japanese Restaurant,90024,+1 310-209-1802,4.5,$$ - $$$,26,1051 Broxton Ave
Pingtung,,+1 323-866-1866,4.0,$$ - $$$,16,"P I N G T U N G Eat-In Market 7455 Melrose Avenue Los Angeles, CA 90046"
JINYA Ramen Bar Mid- Wilshire,90036-4303,+1 323-954-6477,4.5,,12,5168 Wilshire Blvd
Mr. Noodle,90024,+1 310-208-1730,4.0,$,27,936 Broxton Street
Chibiscus Asian Cafe and restaurant,90046-3412,+1 323-977-9877,4.5,,11,7361 1/2 W Sunset Blvd
Octopus Japanese Restaurant,90017-3703,+1 213-402-1500,4.0,$$ - $$$,39,729 W 7th St
Sakura House,90066-5108,+1 310-306-7010,4.5,$$ - $$$,14,13362 W Washington Blvd
Baroo,90038-3202,,4.5,$$ - $$$,6,5706 Santa Monica Blvd
Sushi 21,,,4.0,$$ - $$$,15,235 S. Gaffey St.
Pho 87 Restaurant,90012-1405,+1 323-227-0758,4.0,$,24,1019 N Broadway
Nagao,90049-4851,+1 310-451-7733,4.5,$$ - $$$,24,13050 San Vicente Blvd Ste 110
Kiku Sushi,90004-3707,+1 323-464-1323,4.0,$$ - $$$,19,246 N Larchmont Blvd
Chung Ki Wa,90019-3502,+1 323-737-0809,4.5,$$ - $$$,12,3545 W Olympic Blvd
Escala Restaurant and Bar,90020-2539,+1 213-387-1113,4.5,$$ - $$$,12,3451 W 6th St
Won Kok Restaurant,90012-2302,+1 213-613-0700,4.0,$,30,210 Alpine St
Eight Korean BBQ,90005,2133651750,4.5,,5,863 S Western Ave
Tawanna THAI,90048,+1 323-939-2450,4.0,$,20,6236 Wilshire Blvd.
Kogi Korean BBQ-to-Go,,+1 323-315-0253,4.5,,11,
Manpuku Tokyo BBQ,90025-6249,+1 310-473-0580,4.5,$$ - $$$,32,2125 Sawtelle Blvd
Slurpin' Ramen Bar,90005-2902,+1 213-388-8607,4.5,,6,3500 W 8th St
Sticky Rice,90013-1222,+1 626-872-0353,4.0,$,16,317 S Broadway
Emporium Thai Cuisine,90024-4811,+1 310-478-2838,4.0,$$ - $$$,44,1275 Westwood Blvd
Red Corner Asia,90027-4912,+1 323-466-6722,4.0,$$ - $$$,35,5267 Hollywood Blvd
Mae Ploy Restaurant,90026-3906,+1 213-353-9635,4.5,$,15,2606 W Sunset Blvd
Viet Noodle Bar,90039,+1 323-906-1575,4.0,$$ - $$$,16,3133 1/2 Glendale Blvd
Hamakaze Sushi & Izakaya,90066-5107,+1 310-822-9900,4.5,$$ - $$$,17,13327 W Washington Blvd
Niko Niko Sushi,90064,+1 310-470-2661,4.5,,17,10839 National Blvd
Myung Dong Kyoja,,+1 213-385-7789,4.0,$$ - $$$,18,3630 Wilshire Boulevard
O'woks Los Angeles,90035-2316,+1 310-246-1326,4.5,,7,8657 W Pico Blvd
Pearl Dragon,90272-3612,+1 310-459-9790,4.5,$$ - $$$,22,15229 W Sunset Blvd
Hokkaido Seafood Buffet,91436-2802,+1 818-990-1488,4.0,$$ - $$$,34,15910 Ventura Blvd
vestation,91423-2606,+1 818-784-8388,4.5,,14,14435 Ventura Blvd
Peking Tavern,90014-2904,+1 213-988-8308,4.0,$$ - $$$,15,806 S Spring St
A-Won Japanese Restaurant,90006-1609,+1 213-389-6764,4.0,$$ - $$$,10,913 S Vermont Ave
Sakura Japanese Restaurant,90066-6249,+1 310-822-7790,4.0,$$ - $$$,37,4545 S Centinela Ave
Choiganei Restaurant,90010-3303,+1 213-382-8988,4.5,,10,3916 Wilshire Blvd
Amay's Bakery and Noodle Co.,90012-3413,+1 213-626-2713,5.0,$,4,837 E Commercial St
The Bun Shop,90004-4105,+1 323-468-1031,4.5,,10,151 N Western Ave
Hara Sushi,90025-1173,,4.5,$$ - $$$,14,12222 Wilshire Blvd
Take a Bao,90067-6616,+1 310-551-1100,4.5,$$ - $$$,23,10250 Santa Monica Blvd
Vegan Glory,90048,+1 323-653-4900,4.0,$,35,8393 Beverly Blvd
Anajak Thai Cuisine,91403-3640,+1 818-501-4201,4.5,$$ - $$$,13,14704 Ventura Blvd
Nanban-kan Restaurant,90025-3119,+1 310-478-1591,4.5,$$ - $$$,27,11330 Santa Monica Blvd
Mandarette,90048-2631,+1 323-655-6115,4.0,$$ - $$$,34,8386 Beverly Blvd
Cha Cha Chili,90032-3831,+1 323-222-8900,4.5,,7,4625 Valley Blvd
Snowla Shavery,90020-2556,+1 213-382-1790,5.0,,3,3470 W 6th St Ste 2B
Fresh in the Box,90066-5108,+1 310-301-9100,5.0,$$ - $$$,12,13354 W Washington Blvd
Brothers Sushi,91364-2008,+1 818-992-1284,4.5,$$ - $$$,25,21418 Ventura Blvd
Han Bat Shul Lung Tang,90020-4129,+1 213-388-9499,4.5,$,11,4163 W 5th St
Sushi Masu,90025-4613,+1 310-446-4368,4.5,$$ - $$$,21,1911 Westwood Blvd
Fu-Ga,90012,+1 213-625-1722,4.5,$$ - $$$,17,111 South San Pedro Street
Oreno Yakiniku Japanese Bar-B-Cue,,+1 213-620-0829,4.0,$$ - $$$,11,123 S Onizuka St Ste 308
Gill's Cuisine of India,90017-4610,+1 213-623-1050,3.5,$$ - $$$,19,838 S Grand Ave
Wokcano,90046,+1 323-450-9037,4.0,$$ - $$$,16,8000 W Sunset Blvd
Vegan House,90026,+1 213-483-2105,4.0,$,15,2703 W. Sunset Boulevard
Hop Louie,90012-1759,+1 213-628-4244,4.0,$$ - $$$,18,950 Mei Ling Way
Chin Chin,91604-2533,+1 818-985-9090,4.0,$$ - $$$,24,12215 Ventura Blvd Ste 104
KangHoDong Baek Jeong,90020-2567,+1 213-384-9678,4.0,$$ - $$$,20,3465 W 6th St Ste 20
Kaya Street Kitchen,90036-2110,+1 323-879-9288,4.5,$,7,109 N Fairfax Ave
Hu's Szechwan,90034-4662,+1 310-837-0252,4.5,$$ - $$$,20,10450 National Blvd
Yuko Kitchen,90036-4218,+1 323-933-4020,4.0,$,16,5484 Wilshire Blvd
Hot Wok Cafe,91324-3051,+1 818-886-1168,4.5,,12,9135 Reseda Blvd
Kula Revolving Sushi Bar Sawtell,90025-6250,+1 310-597-4490,4.0,$$ - $$$,11,2130 Sawtelle Blvd
Sirinat Thai,90732-4301,+1 310-832-5678,4.0,$$ - $$$,11,1627 W 25th St
Takao,90049-5104,+1 310-207-8636,4.5,$$$$,26,11656 San Vicente Blvd
Pok Pok Phat Thai,90012-2889,,4.0,$$ - $$$,12,727 N Broadway
Musashi Restaurant,91324-3523,+1 818-701-7041,4.0,$$ - $$$,18,9046 Tampa Ave
Ahi Sushi,91604-2242,+1 818-981-0277,4.5,$$ - $$$,21,12915 Ventura Blvd
Feast From the East,90025-4613,+1 310-475-0400,4.0,$$ - $$$,22,1949 Westwood Blvd
Yabu,90064,+1 310-473-9757,4.5,$$ - $$$,26,11820 W Pico Blvd
Shophouse Southeast Kitchen,90024-2803,+1 424-442-1171,4.0,$,10,1059 Broxton Ave
Yai Restaurant,90028-6719,+1 323-462-0292,4.0,$,24,5757 Hollywood Blvd
King Buffet,,,4.0,$,23,1375 North Western Avenue
Toshi Sushi,90012-3901,+1 213-680-4166,4.5,$$ - $$$,15,359 E 1st St
Golden Hunan,,+1 818-363-5511,4.5,$,12,10334 Reseda Blvd
Gottsui,90025-6232,+1 310-478-0521,4.0,$$ - $$$,16,2112 Sawtelle Blvd
Miyako Sushi,91601-4223,18185080788,4.5,$$ - $$$,4,5005 Lankershim Blvd
Lemongrass,90041,+1 323-258-8050,4.5,$$ - $$$,17,1952 Colorado Blvd
Full House,90012-1727,+1 213-617-8382,4.0,$$ - $$$,25,963 N Hill St
Hop Li,90012-2308,+1 213-680-3939,4.0,$$ - $$$,17,526 Alpine St
Something's Fishy,91364-1837,+1 818-884-3880,3.5,$$ - $$$,17,21812 Ventura Blvd
Ocean Seafood,90012,+1 213-687-3088,3.5,$$ - $$$,88,750 N. Hill Street
Kiriko Sushi,90064-1652,+1 310-478-7769,4.0,$$ - $$$,24,11301 W Olympic Blvd Ste 102
Omino Sushi,91311-2313,+1 818-709-8822,4.5,$$ - $$$,25,20957 Devonshire St
Hodori Restaurant,90006-2770,+1 213-383-3554,4.0,$$ - $$$,23,1001 S Vermont Ave Ste 102
Boba Loca,90024,+1 310-443-8911,5.0,$,6,10946 Weyburn Ave.
Okipoki,90013-2303,+1 213-628-3378,5.0,,2,507 S Spring St
Joss,90069-3309,+1 310-276-1886,5.0,$$$$,4,9255 W Sunset Blvd
Ondal 2,90016,+1 323-933-3228,5.0,$$ - $$$,3,4566 W Washington Blvd
Manila Goodha,90020-5607,+1 213-384-2170,5.0,,1,3324 West 6th Street
Ma Po Restaurant,90020-3003,+1 213-736-6668,5.0,$$ - $$$,1,3611 West 6th Street
Flying Pig Truck,,,5.0,,1,Food Truck
