ID,shop name,postal code,phone number,star,price,number of reviews,street address
226,la luz del dia,90012,2136287495,-1,$,227,w-1 olvera st
227,el palenque restaurant,90032,3232767882,-1,$,28,4501 n huntington dr
228,chico's,90042,3232542445,-1,$,155,100 n ave 50
229,diablo,90026,3236664666,-1,$$,590,3129 w sunset blvd
230,cactus mexican food no 2,90004,3236620759,-1,$,263,4370 beverly blvd
231,el compadre,90015,2137490025,-1,$$,254,1248 s figueroa st
232,tlt food,90024,3104434433,-1,$$,871,1116 westwood blvd
233,trois familia,90026,3237257800,-1,$$,234,3510 sunset blvd
234,yuca's - hollywood,90027,3236610523,-1,$,274,4666 hollywood blvd
235,coronados mexican restaurant & bar,90013,2139358259,-1,$,194,212 w 5th st
236,el sarape,90033,3234150765,-1,$,50,2522 1st st
237,la fiesta brava,90291,3103998005,-1,$,318,259 hampton dr
238,lupita's tamales,90065,3232580667,-1,$,123,3027 n san fernando rd
239,el delfin,90021,2137462240,-1,$$,44,1800 s central ave
240,border grill downtown la,90071,2134865171,-1,$$,726,445 s figueroa st
241,tacos el gavilan,90037,3232330897,-1,$,112,4380 s broadway
242,senor fish,90041,3232577167,-1,$$,701,4803 eagle rock blvd
243,tacos arizas,90026,3235551212,-1,$,203,corner of sunset and logan
244,king torta,90032,3232227006,-1,$,510,4521 valley blvd
245,el antojito,90248,3107696951,-1,$,300,16717 s figueroa st
246,california grill restaurant,90029,3236600427,-1,$,24,800 n virgil ave
247,el arco iris,90042,3232543401,-1,$$,448,5684 york blvd
248,taqueria la guadalupana,90065,3234406445,-1,$,46,cypress ave at division st
249,mayas tacos market,90026,2134840340,-1,$,122,1600 n alvarado st
250,viva taco azteca,90042,8188630577,-1,$,33,5138 n figueroa st
251,mariscos maria's restaurant,90016,3239347085,-1,$$,79,5640 w adams blvd
252,el buen gusto restaurants,90039,3239069796,-1,$,143,2829 fletcher dr
253,taco zone truck,90026,,-1,$,593,1342 n alvarado st
254,maya's restaurant,90031,3232252163,-1,$,89,200 s ave 19
255,rincon oaxaqueno restaurant,90027,3239572293,-1,$$,94,1544 n western ave
256,burritos sahuayo,90189,3232356659,-1,$,21,1st and western ave
257,mariscos 4 vientos,90023,3232664045,-1,$,441,3000 e olympic blvd
258,martita's mexican restaurant,90031,3232275752,-1,$,16,2657 pasadena ave
259,tacos el gavilan,90028,3234691091,-1,$,104,7070 sunset blvd
260,la barbacha,90033,3232641451,-1,$,47,2510 e cesar chavez ave
261,la esquina restaurant,90065,3234746050,-1,$,64,4159 eagle rock blvd
262,burrito place,90032,3235057546,-1,$,86,5587 huntington dr n
263,las brisas,90033,3232224686,-1,$,113,1829 e cesar chavez ave
264,fernando's taco inn,90015,2134897615,-1,$,87,815 w olympic blvd
265,el burrito panzon,90057,2134135076,-1,$,37,2108 beverly blvd
266,pupuseria el cerro verde,90304,3104121000,-1,$$,18,4422 w imperial hwy
267,andy's restaurant,91601,8188537191,-1,$,97,5342 vineland ave
268,restaurant santa cecilia,90033,3239800716,-1,$,22,1707 mariachi plz
269,revolutionario: north african tacos,90007,4242233526,-1,$,287,1436 w jefferson blvd
270,rosa mexicano,90015,2137460001,-1,$$,877,800 w olympic blvd
271,juanita's cafe,90014,2132390696,-1,$,12,717 s broadway
272,taqueria vista hermosa,90007,2137411251,-1,$,159,3655 s grand ave
273,don toños restaurant,90032,3232270084,-1,$,17,3107 n eastern ave
274,el matador taco truck,90028,,-1,$,149,1174 n western ave and lexington
275,el tapatio,90033,3232662931,-1,$,15,2049 e cesar e chavez ave
276,el coyote mexican cafe,90036,3239392255,-1,$$,1259,7312 beverly blvd
277,the talpa restaurant,90064,3104783353,-1,$$,187,11751 w pico blvd
278,my taco,90042,3232562698,-1,$,535,6300 york blvd
279,dos burritos van nuys,91405,8189468162,-1,$,53,7207 van nuys blvd
280,tamayo restaurant,90022,3232604700,-1,$$,178,5300 e olympic blvd
281,cocina dona chona,90001,3235813036,-1,$,17,1938 e florence ave
282,trejo's tacos,90019,3239388226,-1,$$,578,1048 s la brea ave
283,moles la tia,90022,3232637842,-1,$$,413,4619 e cesar e chavez ave
284,mexico city,90027,3236617227,-1,$$,518,2121 hillhurst ave
285,fanny's restaurant,90042,3234787054,-1,$,60,5455 n figueroa st
286,el rancho grande,90012,2136265750,-1,$,47,e 17 olvera st
287,loteria grill,90028,3234652500,-1,$$,780,6627 hollywood blvd
288,las amigas,90014,2136271067,-1,$,40,830 san julian st
289,don antonio's,90064,3103122090,-1,$$,1001,11755 w pico blvd
290,tacos super gallito,90034,,-1,$,19,8501-8549 sawyer st
291,las ranas cafe,90016,3239347084,-1,$,55,5237 w adams blvd
292,más malo,90014,2139854332,-1,$$,1101,515 w 7th st
293,restaurante puerto la union,90019,3233730429,-1,$,22,3811 w pico blvd
294,malo,90029,3236641011,-1,$$,1260,4326 w sunset blvd
295,tacos mixe,90027,,-1,$,12,1515 hillhurst ave
296,el super taco,90064,3104739692,-1,$,157,11300 w pico blvd
297,mercado la paloma,90007,2137481963,-1,$,121,3655 s grand ave
298,tacos super gallito,90023,3238687983,-1,$,67,corner of la brea blvd and venice blvd
299,king taco,90015,2137479915,-1,$,353,645 e washington blvd
300,el comal,90029,3239621706,-1,$,10,5465 santa monica blvd
301,el gran burrito,90029,3236658720,-1,$,299,4716 santa monica blvd
302,cilantro always fresh,90057,2137483900,-1,$,52,1359 s main st
303,machos tacos,90027,,-1,$,306,1670 n vermont ave
304,el tarasco,90045,3103380399,-1,$,273,8620 s sepulveda blvd
305,la parrilla,90017,2133534980,-1,$$,205,1300 wilshire blvd
306,pink taco,90046,3233807474,-1,$$,658,8225 w sunset blvd
307,tacos & tamales,90035,2134446709,-1,$,9,6006 pico blvd
308,cha cha chili,90032,3232228900,-1,$,918,4625 valley blvd
309,benito's taco shop,90048,3239387427,-1,$,242,7912 beverly blvd
310,el unico pollo taquero,90029,3239068429,-1,$,74,4481 santa monica blvd
311,expresion oaxaquena,90019,3237660575,-1,$$,58,3301 w pico blvd
312,la carreta,90022,3232611365,-1,$,86,4538 east cesar e chavez ave
313,ricky's fish tacos,90027,3233956233,-1,$,1017,1400 n virgil ave
314,tacomole,90079,2136891370,-1,$,26,110 e 9th st
315,lindo oaxaca,90015,2137498723,-1,$$,23,322 e washington blvd
316,rodeo mexican grill,90015,2137385252,-1,$$,219,1721 w olympic blvd
317,pinches tacos,90004,2132815471,-1,$,108,203 n larchmont blvd
318,la golondrina mexican cafe,90012,2136284349,-1,$$,623,17 olvera st
319,tacos el charro,90040,3237201085,-1,$,51,5900 e washington blvd
320,el gordo,90029,3232694662,-1,$,13,1182 s lorena st
321,flor del rio restaurant,90063,3232680319,-1,$$,30,3200 e 4th st
322,camy's grill,90010,2133853217,-1,$,65,3339 wilshire blvd
323,tacos tamix,90006,,-1,$,47,2402 w pico blvd
324,sinaloa express,90032,3232240364,-1,$,39,5373 alhambra ave
325,margarita's mexican cafe,90043,3232948970,-1,$,19,5026 crenshaw blvd
326,el torito cafe,90021,2137498084,-1,$,22,1462 griffith ave
327,taco plus,90025,3102070793,-1,$,306,1525 s bundy dr
328,taco chabelita,90018,3237340211,-1,$,132,2001 s western ave
329,little rodeo,90031,3232212801,-1,$,92,3500 n broadway
330,tacos el unico,90007,3237371044,-1,$,84,1375 w adams blvd
331,daddy's burritos,90016,3234529540,-1,$,22,5401 w adams blvd
332,tacos el pueblita,90026,3233735374,-1,$,8,2036 beverly blvd
333,taco fiesta,90065,3232235478,-1,$,52,4501 n figueroa st
334,tortas ahogadas el guero,90022,3232628900,-1,$,62,4508 whittier blvd
335,chile verde,90047,3232914200,-1,$,17,1810 w slauson ave
336,campos tacos,90034,3102027308,-1,$,126,2639 s robertson blvd
337,el tacorin,90003,3237782818,-1,$,27,8215 s broadway
338,la placita del d f,90033,3237808232,-1,$,49,1859 e 1st st
339,mama's international tamales,90057,2134877474,-1,$,226,2124 w 7th st
340,ostioneria colima,90017,2134824152,-1,$,23,1465 w 3rd st
341,el taurino - temp. closed,90006,2137389197,-1,$,1632,2306 w 11th st
342,el chalateco,90032,3232219857,-1,$,24,3333 n eastern ave
343,mariscos maria's restaurant,90007,3237313108,-1,$$,62,2215 s vermont ave
344,restaurante guerrero,90015,,-1,,5,1201 s los angeles st
345,te'kila,91423,8189864623,-1,$$,127,13817 ventura blvd
346,el paseo inn,90012,2136261361,-1,$$,1494,11 e olvera st
347,mariscos el jato,90033,3232646590,-1,$,252,2936 e 4th st
348,chulada grill express,90019,3239547570,-1,$,131,5607 san vicente blvd
349,hacienda del rey,90045,3106708588,-1,$$,253,8347 lincoln blvd
350,clutch,90291,3103968749,-1,$$,225,427 lincoln blvd
351,mi india bonita cafe,90022,3232678505,-1,$,92,4731 e olympic blvd
352,mariscos michoacan,,,-1,$,7,
353,novacane sports bar & grill,90058,5623962272,-1,$$,73,5812 s santa fe ave
354,tortas ahogadas ameca,90022,3232686636,-1,$,77,747 s atlantic blvd
355,la cocina restaurant l&f,90063,3232627790,-1,$,32,3425 e 1st st
356,the carbon grill,90035,3232839938,-1,$,20,1801 s la cienega blvd
357,wendy's tortas,90031,3232241619,-1,$,83,2603 n main st
358,los antojitos,90033,3232644750,-1,$,26,2122 e 1st st
359,los alcatraces restaurant,90018,3237331379,-1,$,6,3773 s western ave
360,the shrimp & taco stop,90034,8186417054,-1,$,15,9021 exposition blvd
361,durango's tacos,91606,8184898111,-1,$,8,12808 victory blvd
362,via-mar seafood restaurant,90042,3232554929,-1,$,234,5111 n figueroa st
363,javier's tacos,90029,,-1,$,12,958 n virgil ave
364,tacos los reyes,90019,3103079110,-1,$,4,3300 w olympic blvd
365,birrieria jalisco,90001,3235839322,-1,$,58,7673 compton ave
366,burrito king sunset,90026,2134849859,-1,$,215,2109 w sunset blvd
367,paco's tacos,90045,3106458692,-1,$$,510,6212 w manchester ave
368,lamberto's mexican food,90044,3237785301,-1,$,47,894 w manchester avenue
369,tacos la guera,90006,3237815905,-1,$,19,pico blvd & hobart blvd
370,costa alegre restaurant,90026,2134846121,-1,$$,152,1901 w sunset blvd
371,mariscos el guero taco truck & seafood,90045,3233334740,-1,$,24,6000 w manchester ave
372,baja bud's,90064,3104782770,-1,$,212,11205 national blvd
373,la morenita restaurant,90031,3232211687,-1,$,11,2620 n broadway
374,sabores de oaxaca,90034,3105597003,-1,$,39,6136 venice blvd
375,las cazuelas restaurant & pupuseria,90042,3232554719,-1,$,274,5707 n figueroa st
376,el ranchito restaurant,90007,2137470443,-1,$,15,3401 s main st
377,cinco,90045,3109100895,-1,$$,368,7241 w manchester ave
378,variedades puebla,90023,3239453668,-1,$,6,soto and olympic
379,maracas cafe & catering,90031,3232250506,-1,$,37,3300 n broadway
380,señorita's tamales,90034,7173826253,-1,,12,palms blvd / national blvd
381,la reyna tacos,90029,,-1,$,25,romaine st & western
382,armando's hot food,90028,3235411140,-1,$,22,1277 n western ave
383,mi tierra restaurant,90031,3232233324,-1,$$,29,2423 daly st
384,frida mexican cuisine,90024,3102090666,-1,$$,270,10853 lindbrook dr
385,taco express,90045,3106491513,-1,$,47,9200 aviation blvd
386,red o,90046,3236555009,-1,$$$,1345,8155 melrose ave
387,tacos arandas,90003,,-1,$,25,337 e florence ave
388,tacos virginia,90006,3232689532,-1,$,29,4081 whittier blvd
389,doña inez mexican cuisine,90014,2134885128,-1,$,15,847 santee st
390,mariscos la corita,90011,3232351152,-1,$$,59,4504 avalon blvd
391,tacos el sapo,90022,3232003711,-1,$,66,6250 e olympic blvd
392,blvd café,90022,3233070775,-1,$,39,4555 whittier blvd
393,el flaco tacos,90063,3232440983,-1,$,52,downey rd & 3rd st
394,la canada taqueria,90019,3237333401,-1,$,21,3131 w pico blvd
395,benito's taco shop,90025,3104429924,-1,$,334,11614 santa monica blvd
396,mary alicia's mexican restaurant,90063,3232690339,-1,$,32,3100 e 4th st
397,flautas,90008,,-1,$,21,3650 w martin luther king jr blvd
398,tacos los guichos,90003,,-1,$,52,olive and slauson
399,sharky's woodfired mexican grill,90028,3234617881,-1,$,155,1716 n cahuenga blvd
400,adrians taco trailer,90021,3237153735,-1,$,21,1000 s mateo st
401,tacos el paisa,90032,3232238206,-1,$,56,5234 valley blvd
