ID,shop name,postal code,phone number,star,price,number of reviews,street address
29,chiba restaurant,91605,8187659119,4.5,$$ - $$$,50,11713 saticoy st
30,wokcano - downtown la,90017,2136232288,4.0,$$ - $$$,109,800 w 7th st
31,marugame monzo,,2133469762,4.5,$$ - $$$,40,"329 e. 1st , los angeles, california 90012"
32,pine & crane,90026,3236681128,4.5,$$ - $$$,41,1521 griffith park blvd
33,soowon galbi,90005,2133659292,4.5,$$ - $$$,53,856 s vermont ave
34,badmaashla,90012,2132217466,4.0,$$ - $$$,61,108 w 2nd st
35,little sister,90014,2136283146,4.5,$$ - $$$,31,523 w 7th st
36,luv2eat thai bistro,90028,3234985835,4.5,$,38,6660 w sunset blvd
37,pink pepper,90028,3234612462,4.5,$$ - $$$,65,1638 n la brea ave
38,oomasa,,2136239048,4.5,$$ - $$$,76,100 alameda street
39,asanebo,91604,8187603348,4.5,$$$$,65,11941 ventura blvd
40,shin-sen-gumi la,90013,2136877108,4.5,$$ - $$$,42,132 s central ave
41,roy's - woodland hills,91367,8188884801,4.5,$$$$,107,6363 topanga canyon rd.
42,mao's kitchen,90291,3105818305,4.0,$,138,1512 pacific ave
43,triple 8 china bar & grill,,2137473700,4.0,$$ - $$$,59,800 w olympic blvd ste a120
44,takami sushi and robata,90017,2132369600,4.0,$$ - $$$,148,811 wilshire blvd
45,restaurant hama,90291,3103968783,4.5,$$ - $$$,69,213 windward ave
46,thai patio,90027,3234663894,4.0,$,82,5273 hollywood blvd
47,izaka-ya by katsuya,90048,3237829536,4.5,$$ - $$$,97,8420 w. 3rd st
48,kogi bbq taco truck,,7146974683,4.5,$,80,
49,blue ribbon sushi bar & grill,90036,3233529300,4.5,$$ - $$$,30,189 the grove dr
50,silver lake ramen,90026,3236608100,4.5,$,36,2927 w sunset blvd
51,pa ord noodles,90027,,4.5,$,43,5301 w sunset blvd
52,pot commissary cafe,,2133683030,4.0,$$ - $$$,106,3515 wilshire blvd
53,toi on sunset,90046,3238748062,4.0,$$ - $$$,109,7505 1/2 w sunset blvd
54,tsujita la,90025,3102310222,4.0,$$ - $$$,103,2057 sawtelle blvd
55,quarters,90020,2133658111,4.0,$$ - $$$,36,3465 w 6th st
56,shintaro,90068,3238826524,4.0,$$ - $$$,70,1900 n highland ave ste 5
57,siamese garden,90292,3108210098,4.0,$$ - $$$,50,301 washington blvd
58,vegan house in hollywood,,3239626195,4.5,$,33,1717 n. wilcox ave.
59,kanpai sushi bar and grill,90045,3103387223,4.5,$$ - $$$,88,8325 lincoln blvd
60,au lac dtla,90012,2136172533,4.5,$$ - $$$,34,710 w 1st st
61,kagura downtown,90012,2136809686,4.5,$$ - $$$,36,137 japanese village plaza mall
62,ramen jinya,91604,8189803977,4.5,$$ - $$$,44,11239 ventura blvd
63,kino sushi,,3234654567,4.0,$$ - $$$,69,"6721 hollywood blvd, los angeles, ca"
64,kiwami,91604,8187633910,4.5,$$ - $$$,42,11920 ventura blvd
65,the district by hannah an,90048,3102782345,4.0,$$ - $$$,44,8722 w 3rd st
66,sugarfish by sushi nozawa,90049,3108204477,4.5,$$ - $$$,53,11640 san vicente blvd
67,cho oishi,90028,3234640500,3.5,$$ - $$$,130,6801 hollywood blvd
68,chego,90034,3102870337,4.5,$,41,727 n. broadway
69,kifune sushi bar,90292,3108221595,4.0,$$ - $$$,48,405 washington blvd
70,bulan thai vegetarian restaurant,90046,3238571882,4.5,$$ - $$$,40,7168 melrose ave.
71,kabuki - hollywood,90028,3234646003,4.0,$$ - $$$,52,1545 vine street
72,koi,90069,3106599449,4.5,,24,7355 lankershim blvd
73,road to seoul,90006,3237319292,4.5,$$ - $$$,56,1230 s western ave
74,kula revolving sushi bar,90012,2132909631,4.0,$$ - $$$,49,333 e 2nd st
75,hoy-ka thai noodle house,90028,3234632979,4.5,$,22,5908 w sunset blvd
76,robata jinya,90048,3236538877,4.5,$$ - $$$,35,8050 w 3rd st
77,araya's place,90048,3239000557,5.0,$$ - $$$,15,8101 1/2 beverly blvd
78,oo kook korean bbq,90005,2133855665,4.0,$$ - $$$,30,3385 w 8th st
79,city wok,91602,8185064050,4.0,$,82,10949 ventura blvd
80,palm thai restaurant,90028,3234625073,4.0,$$ - $$$,170,5900 hollywood blvd
81,pailin thai cuisine,90028,3234676775,4.5,$,22,5621 hollywood blvd
82,r.o.c. kitchen,90025,,4.0,$$ - $$$,36,2049 sawtelle blvd
83,ekkamai thai restaurant,90066,3108272777,4.0,$$ - $$$,26,13223 w washington blvd
84,hide sushi,90025,3104777242,4.0,$$ - $$$,82,2040 sawtelle blvd
85,sushi roku,90048,3236556767,4.0,$$ - $$$,109,8445 w 3rd st
86,genghis cohen,90046,3236530640,4.0,$$ - $$$,72,740 n. fairfax ave.
87,sushi yuzu,91602,8187638355,4.5,$$ - $$$,28,10118 riverside dr
88,orochon ramen,,2136171766,4.0,$,75,123 astronaut e s onizuka st
89,park's bbq,90006,2133801717,4.5,$$ - $$$,51,955 s vermont ave
90,wabi-sabi,90291,3103142229,4.0,$$ - $$$,52,1635 abbot kinney blvd
91,hollywood thai restaurant,90027,3234670926,4.5,$$ - $$$,24,5241 hollywood blvd
92,night + market,90026,3102759724,4.5,$$ - $$$,24,3322 w sunset blvd
93,sushi stop,91316,8189860014,4.5,$$ - $$$,22,17547 ventura blvd
94,fin the restaurant,90066,3103988611,4.5,$$ - $$$,18,12223 w washington blvd
95,cafe sierra,91608,8185092030,4.0,$$ - $$$,96,555 universal hollywood dr
96,kabuki japanese restaurant,90045,3106415524,4.0,$$ - $$$,57,6081 center dr ste 203
97,kazunori,90013,2134936956,4.5,$$ - $$$,22,421 s main st
98,sushi sasabune,90049,3104783596,4.5,$$$$,77,11917 wilshire blvd
99,thai pepper restaurant,90028,3234672699,4.5,$,35,6219 franklin avenue
100,bao dim sum house,90048,3236556556,4.0,$$ - $$$,84,8256 beverly blvd
101,sushi dan,91604,8189852254,4.0,$$ - $$$,53,11056 ventura blvd
102,sushi enya,90012,,4.5,$$ - $$$,16,343 e 1st st
103,baramee thai restaurant,90731,3105219400,4.5,$$ - $$$,25,354 w 6th st
104,"frontier wok, too",,8189549956,4.5,$,26,1816 west olive avenue
105,shabu shabu house restaurant,90012,2136803890,4.5,$$ - $$$,67,127 japanese village plaza mall
106,hurry curry of tokyo,90025,3104731640,4.0,$,48,2131 sawtelle blvd
107,hamasaku,90025,3104797636,4.5,$$ - $$$,21,11043 santa monica blvd
108,benihana,91436,8187887121,4.0,$$ - $$$,76,16226 ventura blvd
109,blossom restaurant,90013,2136231973,4.0,$$ - $$$,44,426 s main st
110,pf changs,,,4.0,$$ - $$$,27,sherman oaks galleria
111,ruen pair,90027,3234660153,4.0,$$ - $$$,29,5257 hollywood blvd
112,singapore's banana leaf,90036,3239334627,4.0,$,75,6333 w 3rd st
113,l a rose cafe,90029,3236624024,4.5,,28,4749 fountain ave
114,golden dragon restaurant,90012,2136265916,4.0,$$ - $$$,51,960 n broadway
115,canal club,90291,3108233878,4.0,$$ - $$$,44,2025 pacific ave
116,vinh loi tofu vietnamese vegan restaurant,91335,8189969779,4.5,$$ - $$$,21,18625 sherman way #101
117,beverly soon tofu,90006,2133801113,4.5,$$ - $$$,29,2717 w olympic blvd ste 108
118,agra tandoori,91356,8183422290,4.5,$,18,19560 ventura blvd
119,sanamluang cafe,90027,3236608006,4.0,$,68,5176 hollywood blvd
120,ham ji park,90019,3237338333,4.5,$$ - $$$,15,4135 w pico blvd
121,hoy's wok restaurant,90029,3238506637,4.0,$,25,7105 west sunset blvd
122,bugis street brasserie,,2136241100,4.0,$$ - $$$,50,501 s. olive st.
123,sushi zo,90034,3108423977,4.5,$$$$,39,9824 national blvd
124,sweet fish sushi bar,90094,4242282298,4.5,$$ - $$$,15,13020 pacific promenade
125,seoul house of tofu,90025,3104449988,4.0,$$ - $$$,21,2101 sawtelle blvd
126,phoenix inn chinese cuisine,90012,2136292812,4.5,,16,301 ord street
127,soot bull jeep,90005,2133873865,4.5,$$ - $$$,45,3136 w 8th st
128,the vegan joint,90034,3105591357,4.0,$,28,10438 national blvd
129,maruya,90012,2136139988,4.0,$$ - $$$,21,104 japanese village plaza mall
130,summer canteen,91602,8189856611,4.5,$$ - $$$,16,4444 lankershim blvd
131,ahgassi gopchang,90020,2132499678,4.5,$$ - $$$,12,3744 w 6th st
132,yen sushi,90035,3102780691,4.0,$$ - $$$,33,9618 west pico blvd #509
133,soi 7 @ maison metro,90014,2135370333,4.0,$$ - $$$,40,518 w 7th st
134,hirozen,90048,3236530470,4.5,$$ - $$$,29,8385 beverly blvd
135,oi asian fusion,91303,8187760282,4.5,$,13,6747 tampa ave
136,chinese friends restaurant,90012,2139729089,4.5,$,18,984 n broadway
137,curry house,,2136877344,4.0,$,47,123 astronaut e s onizuka st
138,tara's himalayan cuisine,90034,3108369696,4.0,$$ - $$$,41,10855 venice blvd
139,mr. ramen,90063,2136264252,4.0,$,44,341 east 1st street
140,star noodle express,90045,3103381337,4.0,$,19,5310 w century blvd
141,urban ramen,90046,3235126077,4.0,$,29,7300 w sunset blvd
142,noshi sushi,90004,3234693458,4.0,$$ - $$$,23,4430 beverly blvd
143,jasmine thai cuisine,91326,8188312100,4.5,$$ - $$$,19,19707 rinaldi st
144,shu - sushi house unico,90077,3104742740,4.5,$$ - $$$,18,2932 1/2 beverly glen circle
145,the room sushi bar,90025,3104740462,4.0,$$ - $$$,14,1884 westwood blvd
146,furaibo,90025,3104441432,4.0,$$ - $$$,51,2068 sawtelle blvd
147,chaya brasserie,90001,3108598833,4.0,$$$$,104,8741 alden dr
148,take a bao,,,4.5,$$ - $$$,23,11838 ventura blvd
149,sushi go 55,,2136870777,4.5,$$ - $$$,24,"333 s. alameda, suite 317"
150,it's pho hollywood,90028,3233807998,4.5,,15,1821 n cahuenga blvd
151,gyu-kaku japanese bbq dining,90064,3102348641,4.0,$$ - $$$,49,10925 w pico blvd
152,tomoya sushi and izakaya,91367,8187030318,4.0,$$ - $$$,23,6020 canoga ave # 100
153,seoul garden restaurant,90006,2133868477,4.0,$$ - $$$,29,1833 w olympic blvd
154,ramenya,90064,3105759337,4.0,$,24,11555 w olympic blvd
155,suehiro cafe,90012,2136269132,4.0,$,34,337 e 1st st
156,kinnara thai,91406,8189887788,4.5,$$ - $$$,20,15355 sherman way
157,trio house,90007,2137410101,4.0,$$ - $$$,15,3101 s figueroa st
158,mizu 212 degrees,90025,3104788979,4.5,,24,2000 sawtelle blvd
159,far bar,90012,2136179990,4.0,$$ - $$$,24,347 e 1st st
160,santouka ramen,90066,3103911101,4.5,$,44,3760 s centinela ave
161,kobawoo restaurant,90005,2133897300,4.5,$$ - $$$,19,698 s vermont ave ste 109
162,daichan,91604,8189808450,4.5,$$ - $$$,28,11288 ventura blvd
163,cbs seafood restaurant,90012,2136172323,3.5,$$ - $$$,45,700 n spring st
164,kura sushi,90045,3105689800,4.0,$$ - $$$,26,5567 w manchester ave
165,seoul sausage co.,90025,,4.0,$,22,11313 mississippi ave
166,sapp coffee shop,90027,3236651035,4.5,$,18,5183 hollywood blvd
167,natalee thai,90232,3102027003,3.5,$$ - $$$,82,10101 venice blvd
168,manna korean bbq,90013,2136170306,4.0,$$ - $$$,41,333 s alameda st
169,ayce,91405,8184653050,4.5,$$ - $$$,7,7128 van nuys blvd
170,palace seafood and dim sum,90025,,4.0,$$ - $$$,25,11701 wilshire blvd
171,komasa,90012,2136801792,4.5,$$ - $$$,19,351 e second street
172,manichi ramen,90012,2136139888,4.5,$,13,321 1/4 e 1st st
173,lum-ka-naad thai restaurant,91324,8188823028,4.5,$$ - $$$,33,8920 reseda blvd
174,bamboo cuisine,91423,8187880202,4.0,$$ - $$$,46,14010 ventura blvd
175,gobi mongolian bbq,90026,2139890711,4.5,$$ - $$$,18,2827 w sunset blvd
176,shiki sushi,,8184873938,4.5,$$ - $$$,12,12745 ventura blvd
177,p.f. chang's,91403,8187841694,4.0,$$ - $$$,45,15301 ventura blvd
178,wasabi on citywalk,91608,8187638813,3.5,$$ - $$$,62,1000 universal studios blvd
179,arashi sushi,,,4.5,$$ - $$$,31,1111 s. hope st. #100
180,castle korean bbq,90010,2133881988,4.0,,34,3600 wilshire blvd
181,dong il jang restaurant,90005,2133835757,4.5,$$ - $$$,26,3455 w 8th st
182,sushistop,90028,3234682496,4.5,,13,5917 franklin ave
183,kushiyu,91356,8186099050,4.0,$$ - $$$,40,18713 ventura blvd
184,gyu-kaku japanese bbq,91423,8185015400,3.5,$$ - $$$,34,14457 ventura blvd
185,shunji's japanese cuisine,90064,3108264737,4.5,,16,12244 w pico blvd
186,simpang asia,90034,3108159075,4.5,$,30,10433 national blvd # 213
187,chi's chinese cuisine,91324,8188866928,4.0,$$ - $$$,13,9635 reseda blvd
188,moodaepo ii,90005,2133819990,4.5,,12,3014 w 7th st
189,nong la cafe,90025,3102681881,4.5,$,13,2055 sawtelle blvd
190,melanee thai,90035,3102734066,4.5,$$ - $$$,21,9562 w pico blvd
191,ocha classic,90005,2133853657,4.0,$,11,835 s vermont ave
192,teru sushi,91604,8187636201,4.0,$$ - $$$,23,11940 ventura blvd
193,shanghai diamond garden,90035,3238793463,4.0,$$ - $$$,19,9401 west pico blvd
194,ami japanese restaurant,90024,3102091802,4.5,$$ - $$$,26,1051 broxton ave
195,pingtung,,3238661866,4.0,$$ - $$$,16,"p i n g t u n g eat-in market 7455 melrose avenue los angeles, ca 90046"
196,jinya ramen bar mid- wilshire,90036,3239546477,4.5,,12,5168 wilshire blvd
197,mr. noodle,90024,3102081730,4.0,$,27,936 broxton street
198,chibiscus asian cafe and restaurant,90046,3239779877,4.5,,11,7361 1/2 w sunset blvd
199,octopus japanese restaurant,90017,2134021500,4.0,$$ - $$$,39,729 w 7th st
200,sakura house,90066,3103067010,4.5,$$ - $$$,14,13362 w washington blvd
201,baroo,90038,,4.5,$$ - $$$,6,5706 santa monica blvd
202,sushi 21,,,4.0,$$ - $$$,15,235 s. gaffey st.
203,pho 87 restaurant,90012,3232270758,4.0,$,24,1019 n broadway
204,nagao,90049,3104517733,4.5,$$ - $$$,24,13050 san vicente blvd ste 110
205,kiku sushi,90004,3234641323,4.0,$$ - $$$,19,246 n larchmont blvd
206,chung ki wa,90019,3237370809,4.5,$$ - $$$,12,3545 w olympic blvd
207,escala restaurant and bar,90020,2133871113,4.5,$$ - $$$,12,3451 w 6th st
208,won kok restaurant,90012,2136130700,4.0,$,30,210 alpine st
209,eight korean bbq,90005,2133651750,4.5,,5,863 s western ave
210,tawanna thai,90048,3239392450,4.0,$,20,6236 wilshire blvd.
211,kogi korean bbq-to-go,,3233150253,4.5,,11,
212,manpuku tokyo bbq,90025,3104730580,4.5,$$ - $$$,32,2125 sawtelle blvd
213,slurpin' ramen bar,90005,2133888607,4.5,,6,3500 w 8th st
214,sticky rice,90013,6268720353,4.0,$,16,317 s broadway
215,emporium thai cuisine,90024,3104782838,4.0,$$ - $$$,44,1275 westwood blvd
216,red corner asia,90027,3234666722,4.0,$$ - $$$,35,5267 hollywood blvd
217,mae ploy restaurant,90026,2133539635,4.5,$,15,2606 w sunset blvd
218,viet noodle bar,90039,3239061575,4.0,$$ - $$$,16,3133 1/2 glendale blvd
219,hamakaze sushi & izakaya,90066,3108229900,4.5,$$ - $$$,17,13327 w washington blvd
220,niko niko sushi,90064,3104702661,4.5,,17,10839 national blvd
221,myung dong kyoja,,2133857789,4.0,$$ - $$$,18,3630 wilshire blvd
222,o'woks los angeles,90035,3102461326,4.5,,7,8657 w pico blvd
223,pearl dragon,90272,3104599790,4.5,$$ - $$$,22,15229 w sunset blvd
224,hokkaido seafood buffet,91436,8189901488,4.0,$$ - $$$,34,15910 ventura blvd
225,vestation,91423,8187848388,4.5,,14,14435 ventura blvd
226,peking tavern,90014,2139888308,4.0,$$ - $$$,15,806 s spring st
227,a-won japanese restaurant,90006,2133896764,4.0,$$ - $$$,10,913 s vermont ave
228,sakura japanese restaurant,90066,3108227790,4.0,$$ - $$$,37,4545 s centinela ave
229,choiganei restaurant,90010,2133828988,4.5,,10,3916 wilshire blvd
230,amay's bakery and noodle co.,90012,2136262713,5.0,$,4,837 e commercial st
231,the bun shop,90004,3234681031,4.5,,10,151 n western ave
232,hara sushi,90025,,4.5,$$ - $$$,14,12222 wilshire blvd
233,take a bao,90067,3105511100,4.5,$$ - $$$,23,10250 santa monica blvd
234,vegan glory,90048,3236534900,4.0,$,35,8393 beverly blvd
235,anajak thai cuisine,91403,8185014201,4.5,$$ - $$$,13,14704 ventura blvd
236,nanban-kan restaurant,90025,3104781591,4.5,$$ - $$$,27,11330 santa monica blvd
237,mandarette,90048,3236556115,4.0,$$ - $$$,34,8386 beverly blvd
238,cha cha chili,90032,3232228900,4.5,,7,4625 valley blvd
239,snowla shavery,90020,2133821790,5.0,,3,3470 w 6th st ste 2b
240,fresh in the box,90066,3103019100,5.0,$$ - $$$,12,13354 w washington blvd
241,brothers sushi,91364,8189921284,4.5,$$ - $$$,25,21418 ventura blvd
242,han bat shul lung tang,90020,2133889499,4.5,$,11,4163 w 5th st
243,sushi masu,90025,3104464368,4.5,$$ - $$$,21,1911 westwood blvd
244,fu-ga,90012,2136251722,4.5,$$ - $$$,17,111 south san pedro street
245,oreno yakiniku japanese bar-b-cue,,2136200829,4.0,$$ - $$$,11,123 s onizuka st ste 308
246,gill's cuisine of india,90017,2136231050,3.5,$$ - $$$,19,838 s grand ave
247,wokcano,90046,3234509037,4.0,$$ - $$$,16,8000 w sunset blvd
248,vegan house,90026,2134832105,4.0,$,15,2703 w. sunset blvd
249,hop louie,90012,2136284244,4.0,$$ - $$$,18,950 mei ling way
250,chin chin,91604,8189859090,4.0,$$ - $$$,24,12215 ventura blvd ste 104
251,kanghodong baek jeong,90020,2133849678,4.0,$$ - $$$,20,3465 w 6th st ste 20
252,kaya street kitchen,90036,3238799288,4.5,$,7,109 n fairfax ave
253,hu's szechwan,90034,3108370252,4.5,$$ - $$$,20,10450 national blvd
254,yuko kitchen,90036,3239334020,4.0,$,16,5484 wilshire blvd
255,hot wok cafe,91324,8188861168,4.5,,12,9135 reseda blvd
256,kula revolving sushi bar sawtell,90025,3105974490,4.0,$$ - $$$,11,2130 sawtelle blvd
257,sirinat thai,90732,3108325678,4.0,$$ - $$$,11,1627 w 25th st
258,takao,90049,3102078636,4.5,$$$$,26,11656 san vicente blvd
259,pok pok phat thai,90012,,4.0,$$ - $$$,12,727 n broadway
260,musashi restaurant,91324,8187017041,4.0,$$ - $$$,18,9046 tampa ave
261,ahi sushi,91604,8189810277,4.5,$$ - $$$,21,12915 ventura blvd
262,feast from the east,90025,3104750400,4.0,$$ - $$$,22,1949 westwood blvd
263,yabu,90064,3104739757,4.5,$$ - $$$,26,11820 w pico blvd
264,shophouse southeast kitchen,90024,4244421171,4.0,$,10,1059 broxton ave
265,yai restaurant,90028,3234620292,4.0,$,24,5757 hollywood blvd
266,king buffet,,,4.0,$,23,1375 north western avenue
267,toshi sushi,90012,2136804166,4.5,$$ - $$$,15,359 e 1st st
268,golden hunan,,8183635511,4.5,$,12,10334 reseda blvd
269,gottsui,90025,3104780521,4.0,$$ - $$$,16,2112 sawtelle blvd
270,miyako sushi,91601,8185080788,4.5,$$ - $$$,4,5005 lankershim blvd
271,lemongrass,90041,3232588050,4.5,$$ - $$$,17,1952 colorado blvd
272,full house,90012,2136178382,4.0,$$ - $$$,25,963 n hill st
273,hop li,90012,2136803939,4.0,$$ - $$$,17,526 alpine st
274,something's fishy,91364,8188843880,3.5,$$ - $$$,17,21812 ventura blvd
275,ocean seafood,90012,2136873088,3.5,$$ - $$$,88,750 n. hill street
276,kiriko sushi,90064,3104787769,4.0,$$ - $$$,24,11301 w olympic blvd ste 102
277,omino sushi,91311,8187098822,4.5,$$ - $$$,25,20957 devonshire st
278,hodori restaurant,90006,2133833554,4.0,$$ - $$$,23,1001 s vermont ave ste 102
279,boba loca,90024,3104438911,5.0,$,6,10946 weyburn ave.
280,okipoki,90013,2136283378,5.0,,2,507 s spring st
281,joss,90069,3102761886,5.0,$$$$,4,9255 w sunset blvd
282,ondal 2,90016,3239333228,5.0,$$ - $$$,3,4566 w washington blvd
283,manila goodha,90020,2133842170,5.0,,1,3324 west 6th street
284,ma po restaurant,90020,2137366668,5.0,$$ - $$$,1,3611 west 6th street
285,flying pig truck,,,5.0,,1,food truck
286,feng mao mutton kabab,,3239351099,5.0,,4,3901 w. olympic blvd
287,khun dom restaurant,90029,3236631086,4.5,,2,4681 melrose ave
288,hashi,90012,2136170237,4.5,,4,442 e 2nd st
289,o b bear,90005,2134804910,4.0,$$ - $$$,5,3002 w 7th st
290,sumo asian buffet and grill,91367,8188872688,4.0,$,7,21610 victory blvd
291,shophouse southeast asian kitchen,90028,3234622856,4.0,$,23,6333 sunset blvd
292,meizhou dongpo,,3107880120,3.5,$$ - $$$,21,santa monica blvd
293,sushi house of taka,91403,8187848777,4.5,,12,4627 van nuys blvd
294,so kong dong,90006,2133803737,4.5,,5,2716 w olympic blvd ste 104
295,aura thai hollywood,90027,3239069914,4.0,$,7,1415 n vermont ave
296,hamjipark,90020,2133658773,4.5,$$ - $$$,15,3407 w 6th st
297,le oriental bistro,90028,3234623388,4.0,$,44,1710 n highland ave
298,mitsuru cafe,90012,2136131028,4.0,,22,117 japanese village plaza mall
299,manna resturant,90015,2137457805,3.5,,11,141 west 11th street
300,a and w seafood restaurant,91328,8188826668,4.0,$$ - $$$,14,9306 reseda blvd
301,tuk tuk thai,90035,3108601872,4.0,$$ - $$$,20,8875 w pico blvd
302,bud namu korean bbq,90005,2133859292,4.5,,7,809 s ardmore ave
303,jasmine hana sushi & thai,90732,3108317000,4.0,$$ - $$$,15,114 n gaffey st
304,prince,90005,2133891586,4.5,,7,3198 1/2 w 7th st
305,taiko,90049,3102077782,4.0,$$ - $$$,14,11677 san vicente blvd ste 302
306,88 chinese & sushi,91411,8189977118,4.0,,17,5658 sepulveda blvd
307,pimai restaurant,90028,3234617841,4.0,$,18,5833 franklin avenue
308,foo-chow restaurant,90012,2134851294,4.0,$$ - $$$,24,949 north hill street
309,chunju han-il kwan,90020,2134801799,4.0,$$ - $$$,8,3450 w 6th st ste 106
310,western doma noodles,90004,3238711955,4.0,,10,429 north western avenue
311,chao krung thai restaurant,90036,3239398361,4.0,$$ - $$$,17,111 n fairfax ave
312,ramayani westwood,90024,3104773315,4.0,$$ - $$$,24,1777 westwood blvd
313,shiki by tanaka,91604,8184873938,4.5,$$ - $$$,20,12745 1/2 ventura blvd
314,rice bar,90014,2138075341,4.5,,4,419 w 7th st
315,chan dara larchmont,90004,3234671052,4.0,$$ - $$$,23,310 n larchmont blvd
316,pho cafe,,2134130888,4.0,$,37,2841 w sunset blvd
317,green apple china bistro,91604,8189805888,4.0,$$ - $$$,25,"12265 ventura blvd, ste 112"
318,mandarin deli restaurant,91324,8189930122,4.0,$,11,9305 reseda blvd
319,wat dong moon lek noodle,90029,3236665993,5.0,,5,4356 fountain ave
320,hong galbi,90006,2135003139,4.5,,3,3132 w olympic blvd
321,crazy tokyo sushi,91356,8183450838,4.0,$$ - $$$,14,18406 ventura blvd
322,green leaves vegan,90027,3236642345,4.5,$,15,1769 hillhurst ave
323,bodhi kosher thai,90035,3102482777,4.0,$$ - $$$,14,9303 w pico blvd
324,koraku restaurant,90012,2136874972,3.5,$,27,314 e 2nd st
325,korean kitchen hibachi barbeque,90012,2136801039,4.0,$,10,135 japanese village plaza mall
326,bibigo,90024,3108240011,4.0,$,20,1091 broxton ave
327,hyakumi noodle station,91423,8187830984,4.5,$,6,13608 ventura blvd
328,ike sushi,90028,3238569972,4.5,$$ - $$$,31,6051 hollywood blvd ste 105
329,apey kade,,8186097683,4.5,,4,19662 ventura blvd.
330,gen korean bbq house,91324,8187093932,4.0,,8,10151 reseda blvd
331,bar hayama,90025,3102352000,4.5,$$ - $$$,29,1803 sawtelle blvd
332,wasabi japanese noodle house,90010,2133410999,4.0,,7,3444 wilshire blvd
333,venice ramen,90292,3104488886,4.0,$,13,515 washington blvd
334,grandma kims family diner,91304,8183461590,4.0,,8,8384 topanga canyon blvd
335,jun won,90005,2133838855,4.5,$$ - $$$,7,3100 west 8th street
336,formosa cafe,90046,3238509050,4.0,$$ - $$$,18,7156 santa monica blvd
337,ramen nippon,91335,8183455946,4.0,,16,6900 reseda blvd ste b
338,talesai,90069,3102759724,4.0,$$ - $$$,21,9043 w sunset blvd
339,hop woo bbq & seafood restaurant,90012,2136173038,3.5,$$ - $$$,38,845 n. broadway
340,sushi eyaki,90036,3239302636,4.5,,14,5040 wilshire blvd
341,dragon street,91601,8185055055,4.5,$,4,5001 lankershim blvd
342,three flames mongolian bar-b-q,90045,3106416868,4.0,$,9,5608 w manchester ave
343,sam woo chinese bbq,90012,2136877238,4.0,$,30,"803 n. broadway, #807"
344,dan sungsa,90020,2134879100,4.0,$$ - $$$,9,3317 w 6th st
345,mikado restaurant,91607,8187631963,4.0,$$ - $$$,30,12600 riverside dr
346,thai talay,90045,3106703055,4.0,$$ - $$$,34,8411 lincoln blvd
347,chan dara,90064,3104794461,4.0,$$ - $$$,20,11940 w pico blvd
348,izakaya sushi ran,91602,8186230567,4.0,$$ - $$$,14,10658 riverside dr
349,gushi,90024,3102084038,4.0,,16,978 gayley ave
350,star bbq,90005,2133899292,4.0,$$ - $$$,7,601 s ardmore ave
351,khan shabu shabu,90004,3234656688,4.0,$$ - $$$,8,210 n western ave ste 103
